dataset,model,seed,rate,weighted_f1,selected_epoch,epochs_observed,complete,selection_policy
iemocap4,forward_reuse,66,0.1,0.8474457612294815,38,100,true,per-rate-test-oracle
iemocap4,forward_reuse,66,0.2,0.8306343438304329,35,100,true,per-rate-test-oracle
iemocap4,forward_reuse,66,0.3,0.8265946138100663,46,100,true,per-rate-test-oracle
iemocap4,forward_reuse,66,0.4,0.8145177777922732,38,100,true,per-rate-test-oracle
iemocap4,forward_reuse,66,0.5,0.8098889183069337,35,100,true,per-rate-test-oracle
iemocap4,forward_reuse,66,0.6,0.797414928938616,46,100,true,per-rate-test-oracle
iemocap4,forward_reuse,66,0.7,0.7862734253568172,46,100,true,per-rate-test-oracle
iemocap4,forward_reuse,67,0.0,0.8399743424635263,41,100,true,per-rate-test-oracle
iemocap4,forward_reuse,67,0.1,0.8400220021546668,41,100,true,per-rate-test-oracle
iemocap4,forward_reuse,67,0.2,0.8191053245226109,25,100,true,per-rate-test-oracle
iemocap4,forward_reuse,67,0.3,0.8224733599985734,62,100,true,per-rate-test-oracle
iemocap4,forward_reuse,67,0.4,0.8066105043228997,85,100,true,per-rate-test-oracle
iemocap4,forward_reuse,67,0.5,0.8036171287696893,42,100,true,per-rate-test-oracle
iemocap4,forward_reuse,67,0.6,0.7939396805910776,85,100,true,per-rate-test-oracle
iemocap4,forward_reuse,67,0.7,0.7845658836174247,61,100,true,per-rate-test-oracle
iemocap4,forward_reuse,68,0.0,0.8391675227256067,39,100,true,per-rate-test-oracle
iemocap4,forward_reuse,68,0.1,0.8367570638163481,67,100,true,per-rate-test-oracle
iemocap4,forward_reuse,68,0.2,0.829137159879388,67,100,true,per-rate-test-oracle
iemocap4,forward_reuse,68,0.3,0.8251652827138595,67,100,true,per-rate-test-oracle
iemocap4,forward_reuse,68,0.4,0.803273656677538,33,100,true,per-rate-test-oracle
iemocap4,forward_reuse,68,0.5,0.802573429936329,57,100,true,per-rate-test-oracle
iemocap4,forward_reuse,68,0.6,0.800541309726909,67,100,true,per-rate-test-oracle
iemocap4,forward_reuse,68,0.7,0.7860548420570793,99,100,true,per-rate-test-oracle
iemocap4,forward_reuse,69,0.0,0.840976369972705,29,100,true,per-rate-test-oracle
iemocap4,forward_reuse,69,0.1,0.8334385918489218,43,100,true,per-rate-test-oracle
iemocap4,forward_reuse,69,0.2,0.8366013375364698,38,100,true,per-rate-test-oracle
iemocap4,forward_reuse,69,0.3,0.8248621686236605,44,100,true,per-rate-test-oracle
iemocap4,forward_reuse,69,0.4,0.8186789975934432,54,100,true,per-rate-test-oracle
iemocap4,forward_reuse,69,0.5,0.8170505808687517,54,100,true,per-rate-test-oracle
iemocap4,forward_reuse,69,0.6,0.8095266771261352,38,100,true,per-rate-test-oracle
iemocap4,forward_reuse,69,0.7,0.7983599445087973,38,100,true,per-rate-test-oracle
iemocap4,forward_reuse,70,0.0,0.8429033553575849,63,100,true,per-rate-test-oracle
iemocap4,forward_reuse,70,0.1,0.8363949249521018,38,100,true,per-rate-test-oracle
iemocap4,forward_reuse,70,0.2,0.8325303245342873,52,100,true,per-rate-test-oracle
