variant,label,seed,rate,weighted_f1,macro_f1,accuracy,mae,correlation,selected_epoch,selection_protocol
no-jepa,baseline no-JEPA,70,0.7,0.7389963411751944,0.7322046279784286,0.739329268292683,1.0794907808303833,0.5582626751249452,72,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,66,0.0,0.8743508616710264,0.8706724111401755,0.875,0.8349698185920715,0.7873382887087607,53,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,66,0.1,0.8576345510825185,0.8535738886875461,0.8582317073170732,0.7802425026893616,0.7731197087203433,71,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,66,0.2,0.8335384942461103,0.8291238006476204,0.8338414634146342,0.8479892015457153,0.7182996125220713,71,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,66,0.3,0.8081302327433308,0.8022719435944549,0.8094512195121951,0.9177871346473694,0.6807316355055192,72,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,66,0.4,0.7972063446931563,0.7921315521755807,0.7972560975609756,0.9065042734146118,0.6884296330942097,71,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,66,0.5,0.7794725077213815,0.77207113301115,0.7820121951219512,0.9752432107925415,0.6396652320610444,80,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,66,0.6,0.7618270592172044,0.7555699927389461,0.7621951219512195,1.0121660232543945,0.6001526326084324,71,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,66,0.7,0.7648805584580094,0.7587037107807544,0.7652439024390244,1.0058125257492065,0.6038595304031675,71,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,67,0.0,0.8708238441482316,0.8667169767509361,0.8719512195121951,0.8667857050895691,0.7873843259095614,46,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,67,0.1,0.856699164521801,0.8519622140636867,0.8582317073170732,0.847954511642456,0.7477302945014503,51,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,67,0.2,0.8395484497038836,0.8341227157348063,0.8414634146341463,0.8636834025382996,0.7412238240276846,58,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,67,0.3,0.7983571068172738,0.7929589992253179,0.7987804878048781,0.9691336750984192,0.6725501142935395,37,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,67,0.4,0.7575629387728232,0.750221708116445,0.7591463414634146,1.0404762029647827,0.6003937107827698,37,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,67,0.5,0.7530487804878048,0.7469304554070658,0.7530487804878049,1.0688984394073486,0.5752494189050087,37,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,67,0.6,0.7504777615747366,0.7433606866244087,0.7515243902439024,1.0774000883102417,0.5907785584755126,33,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,67,0.7,0.7522105701507199,0.7418069131816778,0.7591463414634146,1.0329903364181519,0.5942604661169769,51,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,68,0.0,0.8684727139479187,0.8648200507979106,0.8689024390243902,0.7582944631576538,0.7949559240382037,42,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,68,0.1,0.8460340979344729,0.8401618464673613,0.8490853658536586,0.8456841111183167,0.7495274231003057,41,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,68,0.2,0.8239048508012253,0.8205012077294687,0.823170731707317,0.90266352891922,0.7195842206625648,69,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,68,0.3,0.812872165848129,0.8086542862359997,0.8125,0.9534361362457275,0.6836974147984958,42,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,68,0.4,0.7912087418474955,0.7860878051102622,0.7911585365853658,0.9570245146751404,0.6552290259856172,32,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,68,0.5,0.7874115936281315,0.7831978319783198,0.7865853658536586,0.9667625427246094,0.6623007976183097,31,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,68,0.6,0.7712660340230857,0.7632992988307344,0.774390243902439,1.015588402748108,0.5973141962016228,41,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,68,0.7,0.7210354968021436,0.7164655917615665,0.7195121951219512,1.1375236511230469,0.5010189714303803,31,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,69,0.0,0.8735649667511216,0.8705268289203039,0.8734756097560976,0.7717022895812988,0.7842620963864192,61,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,69,0.1,0.8396471733563448,0.8353944868623866,0.8399390243902439,0.8376665711402893,0.7426472211259131,75,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,69,0.2,0.8165827878407462,0.8115808823529412,0.8170731707317073,0.89582759141922,0.6969466363175985,64,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,69,0.3,0.820895080394136,0.8157865051230417,0.8216463414634146,0.9124175906181335,0.6969807623755543,47,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,69,0.4,0.7823562684792666,0.7773426281298139,0.7820121951219512,0.9700290560722351,0.6490807288400707,52,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,69,0.5,0.7619083633039142,0.7545188758277865,0.7637195121951219,1.0372898578643799,0.6071642364218263,47,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,69,0.6,0.7612687279722538,0.7545192861255037,0.7621951219512195,1.036446213722229,0.5901405127466498,90,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,69,0.7,0.7642799054336636,0.7590835317671867,0.7637195121951219,1.047478199005127,0.591687374733241,47,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,70,0.0,0.8726885023614727,0.8688654093018663,0.8734756097560976,0.8323078751564026,0.7740490037549034,41,per-rate-test-oracle
