variant,label,seed,rate,pattern,n,weighted_f1
no-jepa,baseline no-JEPA,68,0.1,AV,53,0.6407337601807184
no-jepa,baseline no-JEPA,68,0.1,TV,71,0.887458081824279
no-jepa,baseline no-JEPA,68,0.1,ATV,470,0.8676600209194346
no-jepa,baseline no-JEPA,68,0.1,NO_TEXT,60,0.6488933601609658
no-jepa,baseline no-JEPA,68,0.1,TEXT_PRESENT,596,0.8689048595208639
no-jepa,baseline no-JEPA,68,0.1,ALL,656,0.8488101920216966
no-jepa,baseline no-JEPA,68,0.2,A,23,0.5959079283887468
no-jepa,baseline no-JEPA,68,0.2,T,19,0.8947368421052632
no-jepa,baseline no-JEPA,68,0.2,V,29,0.6258085532132719
no-jepa,baseline no-JEPA,68,0.2,AT,79,0.8729626871845786
no-jepa,baseline no-JEPA,68,0.2,AV,86,0.7458607696113881
no-jepa,baseline no-JEPA,68,0.2,TV,94,0.8302572186701394
no-jepa,baseline no-JEPA,68,0.2,ATV,326,0.8584877953269807
no-jepa,baseline no-JEPA,68,0.2,NO_TEXT,138,0.7033718761121555
no-jepa,baseline no-JEPA,68,0.2,TEXT_PRESENT,518,0.8568879107469711
no-jepa,baseline no-JEPA,68,0.2,ALL,656,0.8244712235973529
no-jepa,baseline no-JEPA,68,0.3,A,47,0.6672316213189673
no-jepa,baseline no-JEPA,68,0.3,T,59,0.782919505311336
no-jepa,baseline no-JEPA,68,0.3,V,41,0.6787672527888069
no-jepa,baseline no-JEPA,68,0.3,AT,93,0.9041482341275178
no-jepa,baseline no-JEPA,68,0.3,AV,92,0.686683979122207
no-jepa,baseline no-JEPA,68,0.3,TV,97,0.8360064366677866
no-jepa,baseline no-JEPA,68,0.3,ATV,227,0.8593162885805645
no-jepa,baseline no-JEPA,68,0.3,NO_TEXT,180,0.685383685987794
no-jepa,baseline no-JEPA,68,0.3,TEXT_PRESENT,476,0.8536965617380574
no-jepa,baseline no-JEPA,68,0.3,ALL,656,0.8075530803714405
no-jepa,baseline no-JEPA,68,0.4,A,85,0.7141509433962264
no-jepa,baseline no-JEPA,68,0.4,T,64,0.9217790469172193
no-jepa,baseline no-JEPA,68,0.4,V,65,0.5715244755244755
no-jepa,baseline no-JEPA,68,0.4,AT,92,0.835538752362949
no-jepa,baseline no-JEPA,68,0.4,AV,89,0.5735728067188742
no-jepa,baseline no-JEPA,68,0.4,TV,104,0.9126448893572181
no-jepa,baseline no-JEPA,68,0.4,ATV,157,0.8777030029585208
no-jepa,baseline no-JEPA,68,0.4,NO_TEXT,239,0.629105203795439
no-jepa,baseline no-JEPA,68,0.4,TEXT_PRESENT,417,0.8839287011948882
no-jepa,baseline no-JEPA,68,0.4,ALL,656,0.7913060294566705
no-jepa,baseline no-JEPA,68,0.5,A,109,0.7098378757701159
no-jepa,baseline no-JEPA,68,0.5,T,116,0.8628856624319419
no-jepa,baseline no-JEPA,68,0.5,V,98,0.6434150042397466
no-jepa,baseline no-JEPA,68,0.5,AT,88,0.8629227914942201
no-jepa,baseline no-JEPA,68,0.5,AV,83,0.6615540174883932
no-jepa,baseline no-JEPA,68,0.5,TV,86,0.8377401415571284
no-jepa,baseline no-JEPA,68,0.5,ATV,76,0.8819458432850853
no-jepa,baseline no-JEPA,68,0.5,NO_TEXT,290,0.6758620689655173
no-jepa,baseline no-JEPA,68,0.5,TEXT_PRESENT,366,0.8608789991492083
no-jepa,baseline no-JEPA,68,0.5,ALL,656,0.7791195202278631
no-jepa,baseline no-JEPA,68,0.6,A,150,0.7101612903225807
no-jepa,baseline no-JEPA,68,0.6,T,140,0.8360440239087761
no-jepa,baseline no-JEPA,68,0.6,V,150,0.6026196308998858
no-jepa,baseline no-JEPA,68,0.6,AT,70,0.8564408564408564
no-jepa,baseline no-JEPA,68,0.6,AV,44,0.6671185956900243
no-jepa,baseline no-JEPA,68,0.6,TV,64,0.8904906656841072
no-jepa,baseline no-JEPA,68,0.6,ATV,38,0.9735104452253157
no-jepa,baseline no-JEPA,68,0.6,NO_TEXT,344,0.6606120449949443
no-jepa,baseline no-JEPA,68,0.6,TEXT_PRESENT,312,0.8683784138973332
no-jepa,baseline no-JEPA,68,0.6,ALL,656,0.7590882070755458
no-jepa,baseline no-JEPA,68,0.7,A,177,0.6023410154436764
no-jepa,baseline no-JEPA,68,0.7,T,131,0.8994098681858813
no-jepa,baseline no-JEPA,68,0.7,V,195,0.6251048227653623
no-jepa,baseline no-JEPA,68,0.7,AT,44,0.8856749311294766
no-jepa,baseline no-JEPA,68,0.7,AV,45,0.6011857707509881
no-jepa,baseline no-JEPA,68,0.7,TV,42,0.7868601986249045
no-jepa,baseline no-JEPA,68,0.7,ATV,22,0.7722567287784678
no-jepa,baseline no-JEPA,68,0.7,NO_TEXT,417,0.616584992875265
no-jepa,baseline no-JEPA,68,0.7,TEXT_PRESENT,239,0.8651565951851359
no-jepa,baseline no-JEPA,68,0.7,ALL,656,0.7089495785328294
no-jepa,baseline no-JEPA,69,0.0,ATV,656,0.8737267460601196
no-jepa,baseline no-JEPA,69,0.0,TEXT_PRESENT,656,0.8737267460601196
no-jepa,baseline no-JEPA,69,0.0,ALL,656,0.8737267460601196
no-jepa,baseline no-JEPA,69,0.1,A,8,0.5769230769230769
no-jepa,baseline no-JEPA,69,0.1,T,6,1.0
no-jepa,baseline no-JEPA,69,0.1,V,7,0.7142857142857143
no-jepa,baseline no-JEPA,69,0.1,AT,48,0.8741071428571429
no-jepa,baseline no-JEPA,69,0.1,AV,56,0.6138040042149632
no-jepa,baseline no-JEPA,69,0.1,TV,49,0.8576318845895226
no-jepa,baseline no-JEPA,69,0.1,ATV,482,0.8665442453135577
no-jepa,baseline no-JEPA,69,0.1,NO_TEXT,71,0.6200449449946431
no-jepa,baseline no-JEPA,69,0.1,TEXT_PRESENT,585,0.8678068991898349
no-jepa,baseline no-JEPA,69,0.1,ALL,656,0.8420110330509841
no-jepa,baseline no-JEPA,69,0.2,A,29,0.5795241913926759
no-jepa,baseline no-JEPA,69,0.2,T,23,0.8685481820493264
no-jepa,baseline no-JEPA,69,0.2,V,24,0.662004662004662
no-jepa,baseline no-JEPA,69,0.2,AT,90,0.8222222222222222
no-jepa,baseline no-JEPA,69,0.2,AV,83,0.6872033588901058
no-jepa,baseline no-JEPA,69,0.2,TV,77,0.8571910789632309
no-jepa,baseline no-JEPA,69,0.2,ATV,330,0.8595787595516079
no-jepa,baseline no-JEPA,69,0.2,NO_TEXT,136,0.6694265941670787
no-jepa,baseline no-JEPA,69,0.2,TEXT_PRESENT,520,0.8534354839467538
no-jepa,baseline no-JEPA,69,0.2,ALL,656,0.8152124569154068
no-jepa,baseline no-JEPA,69,0.3,A,49,0.5258763792598379
no-jepa,baseline no-JEPA,69,0.3,T,45,0.8894660894660894
no-jepa,baseline no-JEPA,69,0.3,V,45,0.7093855428350201
no-jepa,baseline no-JEPA,69,0.3,AT,101,0.8509672804482149
no-jepa,baseline no-JEPA,69,0.3,AV,91,0.7193218350059286
no-jepa,baseline no-JEPA,69,0.3,TV,96,0.8327380952380953
no-jepa,baseline no-JEPA,69,0.3,ATV,229,0.8854414194758873
no-jepa,baseline no-JEPA,69,0.3,NO_TEXT,185,0.6871727464219985
no-jepa,baseline no-JEPA,69,0.3,TEXT_PRESENT,471,0.8674677263687587
no-jepa,baseline no-JEPA,69,0.3,ALL,656,0.8187597950614899
no-jepa,baseline no-JEPA,69,0.4,A,89,0.5748148811990994
no-jepa,baseline no-JEPA,69,0.4,T,77,0.8693469650916459
no-jepa,baseline no-JEPA,69,0.4,V,74,0.6196150696150695
no-jepa,baseline no-JEPA,69,0.4,AT,85,0.8265597147950088
no-jepa,baseline no-JEPA,69,0.4,AV,96,0.6957478632478632
no-jepa,baseline no-JEPA,69,0.4,TV,92,0.9007561436672968
no-jepa,baseline no-JEPA,69,0.4,ATV,143,0.8732538545791559
no-jepa,baseline no-JEPA,69,0.4,NO_TEXT,259,0.6359717596830999
no-jepa,baseline no-JEPA,69,0.4,TEXT_PRESENT,397,0.8694998294434765
no-jepa,baseline no-JEPA,69,0.4,ALL,656,0.777832185337731
no-jepa,baseline no-JEPA,69,0.5,A,120,0.6678518518518518
no-jepa,baseline no-JEPA,69,0.5,T,126,0.88958605664488
no-jepa,baseline no-JEPA,69,0.5,V,122,0.6214533193814673
no-jepa,baseline no-JEPA,69,0.5,AT,63,0.8258481130024165
no-jepa,baseline no-JEPA,69,0.5,AV,74,0.6623472787856349
no-jepa,baseline no-JEPA,69,0.5,TV,83,0.8792714718523217
no-jepa,baseline no-JEPA,69,0.5,ATV,68,0.8682369499523949
no-jepa,baseline no-JEPA,69,0.5,NO_TEXT,316,0.6506287740727971
no-jepa,baseline no-JEPA,69,0.5,TEXT_PRESENT,340,0.8708655462184874
no-jepa,baseline no-JEPA,69,0.5,ALL,656,0.7656345683027924
no-jepa,baseline no-JEPA,69,0.6,A,144,0.6443467739584245
no-jepa,baseline no-JEPA,69,0.6,T,156,0.8718793840745059
no-jepa,baseline no-JEPA,69,0.6,V,146,0.6961642234373874
no-jepa,baseline no-JEPA,69,0.6,AT,63,0.8405349794238683
no-jepa,baseline no-JEPA,69,0.6,AV,46,0.4891118543292456
no-jepa,baseline no-JEPA,69,0.6,TV,54,0.8379784466740988
no-jepa,baseline no-JEPA,69,0.6,ATV,47,0.8927454761360046
no-jepa,baseline no-JEPA,69,0.6,NO_TEXT,336,0.6499244630901662
no-jepa,baseline no-JEPA,69,0.6,TEXT_PRESENT,320,0.862763746803069
no-jepa,baseline no-JEPA,69,0.6,ALL,656,0.7564421181799231
no-jepa,baseline no-JEPA,69,0.7,A,149,0.5907548450343111
no-jepa,baseline no-JEPA,69,0.7,T,187,0.8818362296374861
no-jepa,baseline no-JEPA,69,0.7,V,166,0.7380256319395229
no-jepa,baseline no-JEPA,69,0.7,AT,43,0.878796831694312
no-jepa,baseline no-JEPA,69,0.7,AV,45,0.5401493930905695
no-jepa,baseline no-JEPA,69,0.7,TV,52,0.9418398502905545
no-jepa,baseline no-JEPA,69,0.7,ATV,14,0.9297173414820473
no-jepa,baseline no-JEPA,69,0.7,NO_TEXT,360,0.6533803987607543
no-jepa,baseline no-JEPA,69,0.7,TEXT_PRESENT,296,0.8943669510031066
no-jepa,baseline no-JEPA,69,0.7,ALL,656,0.7619083633039142
no-jepa,baseline no-JEPA,70,0.0,ATV,656,0.8732449084626344
no-jepa,baseline no-JEPA,70,0.0,TEXT_PRESENT,656,0.8732449084626344
no-jepa,baseline no-JEPA,70,0.0,ALL,656,0.8732449084626344
no-jepa,baseline no-JEPA,70,0.1,A,7,0.5904761904761904
no-jepa,baseline no-JEPA,70,0.1,T,5,0.888888888888889
no-jepa,baseline no-JEPA,70,0.1,V,6,0.6666666666666666
no-jepa,baseline no-JEPA,70,0.1,AT,54,0.8129084967320261
no-jepa,baseline no-JEPA,70,0.1,AV,54,0.6643772893772892
no-jepa,baseline no-JEPA,70,0.1,TV,63,0.9038819875776397
no-jepa,baseline no-JEPA,70,0.1,ATV,467,0.8713389288330675
no-jepa,baseline no-JEPA,70,0.1,NO_TEXT,67,0.6550325296593953
no-jepa,baseline no-JEPA,70,0.1,TEXT_PRESENT,589,0.868913324625971
no-jepa,baseline no-JEPA,70,0.1,ALL,656,0.8476335075957818
no-jepa,baseline no-JEPA,70,0.2,A,24,0.6147912885662432
no-jepa,baseline no-JEPA,70,0.2,T,24,0.8766603415559772
no-jepa,baseline no-JEPA,70,0.2,V,27,0.514349847683181
no-jepa,baseline no-JEPA,70,0.2,AT,80,0.849906191369606
no-jepa,baseline no-JEPA,70,0.2,AV,90,0.6247399423486653
no-jepa,baseline no-JEPA,70,0.2,TV,71,0.8725580808479094
no-jepa,baseline no-JEPA,70,0.2,ATV,340,0.861522677757972
no-jepa,baseline no-JEPA,70,0.2,NO_TEXT,141,0.6061823778889479
no-jepa,baseline no-JEPA,70,0.2,TEXT_PRESENT,515,0.8620853771690294
no-jepa,baseline no-JEPA,70,0.2,ALL,656,0.8086129345275687
no-jepa,baseline no-JEPA,70,0.3,A,42,0.7282913165266107
no-jepa,baseline no-JEPA,70,0.3,T,40,0.9
no-jepa,baseline no-JEPA,70,0.3,V,60,0.6651785714285715
no-jepa,baseline no-JEPA,70,0.3,AT,82,0.8302992812536821
no-jepa,baseline no-JEPA,70,0.3,AV,93,0.7456712383515087
no-jepa,baseline no-JEPA,70,0.3,TV,111,0.7571122311724731
no-jepa,baseline no-JEPA,70,0.3,ATV,228,0.8777699475373894
no-jepa,baseline no-JEPA,70,0.3,NO_TEXT,195,0.7164086254499702
no-jepa,baseline no-JEPA,70,0.3,TEXT_PRESENT,461,0.842374390170864
no-jepa,baseline no-JEPA,70,0.3,ALL,656,0.8067080146634045
no-jepa,baseline no-JEPA,70,0.4,A,77,0.6396464646464646
no-jepa,baseline no-JEPA,70,0.4,T,77,0.8804966750044277
no-jepa,baseline no-JEPA,70,0.4,V,68,0.6815415821501015
no-jepa,baseline no-JEPA,70,0.4,AT,104,0.8260104302477184
no-jepa,baseline no-JEPA,70,0.4,AV,104,0.6631192432163305
no-jepa,baseline no-JEPA,70,0.4,TV,90,0.8762774403813296
no-jepa,baseline no-JEPA,70,0.4,ATV,136,0.9119395061568542
no-jepa,baseline no-JEPA,70,0.4,NO_TEXT,249,0.6640212225046978
no-jepa,baseline no-JEPA,70,0.4,TEXT_PRESENT,407,0.8764589488480905
no-jepa,baseline no-JEPA,70,0.4,ALL,656,0.7955250507766353
no-jepa,baseline no-JEPA,70,0.5,A,123,0.5704188118640248
no-jepa,baseline no-JEPA,70,0.5,T,110,0.8720395443799699
no-jepa,baseline no-JEPA,70,0.5,V,105,0.6622265122265123
no-jepa,baseline no-JEPA,70,0.5,AT,85,0.8467996378045639
no-jepa,baseline no-JEPA,70,0.5,AV,81,0.6166916026070955
no-jepa,baseline no-JEPA,70,0.5,TV,81,0.8899709643095457
no-jepa,baseline no-JEPA,70,0.5,ATV,71,0.8834966319657072
no-jepa,baseline no-JEPA,70,0.5,NO_TEXT,309,0.6221999266463234
no-jepa,baseline no-JEPA,70,0.5,TEXT_PRESENT,347,0.8725553655695225
no-jepa,baseline no-JEPA,70,0.5,ALL,656,0.7545129435759259
no-jepa,baseline no-JEPA,70,0.6,A,143,0.6733483621641516
no-jepa,baseline no-JEPA,70,0.6,T,158,0.8677234241992394
no-jepa,baseline no-JEPA,70,0.6,V,110,0.6631522232741435
no-jepa,baseline no-JEPA,70,0.6,AT,75,0.8133333333333334
no-jepa,baseline no-JEPA,70,0.6,AV,73,0.60399266598079
no-jepa,baseline no-JEPA,70,0.6,TV,61,0.8034902168164991
no-jepa,baseline no-JEPA,70,0.6,ATV,36,0.8888888888888888
no-jepa,baseline no-JEPA,70,0.6,NO_TEXT,326,0.654790590639141
no-jepa,baseline no-JEPA,70,0.6,TEXT_PRESENT,330,0.8456632544403901
no-jepa,baseline no-JEPA,70,0.6,ALL,656,0.7522913864161006
no-jepa,baseline no-JEPA,70,0.7,A,169,0.6679961425356875
no-jepa,baseline no-JEPA,70,0.7,T,168,0.8540870893812069
no-jepa,baseline no-JEPA,70,0.7,V,183,0.6616879174256223
no-jepa,baseline no-JEPA,70,0.7,AT,52,0.8621097212646508
no-jepa,baseline no-JEPA,70,0.7,AV,32,0.5435606060606061
no-jepa,baseline no-JEPA,70,0.7,TV,41,0.811588592076397
no-jepa,baseline no-JEPA,70,0.7,ATV,11,1.0
