dataset,rate,mode,section,modality,metric,n_seeds,mean,sample_std
iemocap4,0.3,fixed0.0,current_observed_write_fit,audio,err_after,5,1.0,0.0
iemocap4,0.3,fixed0.0,current_observed_write_fit,text,err_after,5,1.0,0.0
iemocap4,0.3,fixed0.0,current_observed_write_fit,visual,err_after,5,1.0,0.0
iemocap4,0.3,fixed0.0,retention,audio,err_decay,5,1.0,0.0
iemocap4,0.3,fixed0.0,retention,text,err_decay,5,1.0,0.0
iemocap4,0.3,fixed0.0,retention,visual,err_decay,5,1.0,0.0
iemocap4,0.3,fixed0.0,task,,accuracy,5,0.6680096696212732,0.018036284678162304
iemocap4,0.3,fixed0.0,task,,macro_f1,5,0.6536958135108049,0.019447085439422352
iemocap4,0.3,fixed0.0,task,,weighted_f1,5,0.6680615567984189,0.018759976421731096
iemocap4,0.3,fixed0.2,current_observed_write_fit,audio,err_after,5,0.5466109118149883,0.022203439499295475
iemocap4,0.3,fixed0.2,current_observed_write_fit,text,err_after,5,0.730331402751023,0.00981746238992012
iemocap4,0.3,fixed0.2,current_observed_write_fit,visual,err_after,5,0.5594264983634698,0.018217257945135804
iemocap4,0.3,fixed0.2,retention,audio,err_decay,5,0.5624896816199977,0.024895970584518073
iemocap4,0.3,fixed0.2,retention,text,err_decay,5,0.7361831986090677,0.00994124285929288
iemocap4,0.3,fixed0.2,retention,visual,err_decay,5,0.5774419610761936,0.02385498518500567
iemocap4,0.3,fixed0.2,task,,accuracy,5,0.8132151490733279,0.01194381992448735
iemocap4,0.3,fixed0.2,task,,macro_f1,5,0.8061802821552104,0.009348470480161032
iemocap4,0.3,fixed0.2,task,,weighted_f1,5,0.8135389041588427,0.0111835235932945
iemocap4,0.3,fixed0.4,current_observed_write_fit,audio,err_after,5,0.3958798260298931,0.018200502485265887
iemocap4,0.3,fixed0.4,current_observed_write_fit,text,err_after,5,0.5576519062728726,0.008901632762147765
iemocap4,0.3,fixed0.4,current_observed_write_fit,visual,err_after,5,0.3932406867449516,0.015956382665970218
iemocap4,0.3,fixed0.4,retention,audio,err_decay,5,0.4221377616631475,0.022785466613823104
iemocap4,0.3,fixed0.4,retention,text,err_decay,5,0.5724428921708448,0.009815288643557053
iemocap4,0.3,fixed0.4,retention,visual,err_decay,5,0.421605769743754,0.022302053671907407
iemocap4,0.3,fixed0.4,task,,accuracy,5,0.825624496373892,0.006683784481330438
iemocap4,0.3,fixed0.4,task,,macro_f1,5,0.8184968985290256,0.006105311282039162
iemocap4,0.3,fixed0.4,task,,weighted_f1,5,0.825636535760906,0.006187237544785356
iemocap4,0.3,fixed0.6,current_observed_write_fit,audio,err_after,5,0.2694896962864535,0.012855746478590868
iemocap4,0.3,fixed0.6,current_observed_write_fit,text,err_after,5,0.38665723818097025,0.0067855018324000154
iemocap4,0.3,fixed0.6,current_observed_write_fit,visual,err_after,5,0.2616312094968428,0.011935378171645878
iemocap4,0.3,fixed0.6,retention,audio,err_decay,5,0.3092404502537713,0.016298940370757232
iemocap4,0.3,fixed0.6,retention,text,err_decay,5,0.41604036751589885,0.009378575291350303
iemocap4,0.3,fixed0.6,retention,visual,err_decay,5,0.30325780896311233,0.01706670190707375
iemocap4,0.3,fixed0.6,task,,accuracy,5,0.8254633360193393,0.008838143164026582
iemocap4,0.3,fixed0.6,task,,macro_f1,5,0.8179928122046075,0.007922675233821983
iemocap4,0.3,fixed0.6,task,,weighted_f1,5,0.825385454441921,0.008088686833799546
iemocap4,0.3,fixed0.8,current_observed_write_fit,audio,err_after,5,0.14196970767028114,0.006875057813588649
iemocap4,0.3,fixed0.8,current_observed_write_fit,text,err_after,5,0.2048522587194577,0.0037964776857942924
iemocap4,0.3,fixed0.8,current_observed_write_fit,visual,err_after,5,0.13574046609879092,0.006696640441021054
iemocap4,0.3,fixed0.8,retention,audio,err_decay,5,0.20275916728377125,0.009991166774843104
iemocap4,0.3,fixed0.8,retention,text,err_decay,5,0.257806880605817,0.01025171117012639
iemocap4,0.3,fixed0.8,retention,visual,err_decay,5,0.19896297199505866,0.010627690225408886
iemocap4,0.3,fixed0.8,task,,accuracy,5,0.8253021756647865,0.007524652718729252
iemocap4,0.3,fixed0.8,task,,macro_f1,5,0.8176388382681608,0.007099433738929675
iemocap4,0.3,fixed0.8,task,,weighted_f1,5,0.8251969503052723,0.0067212920565480954
iemocap4,0.3,fixed0.9,current_observed_write_fit,audio,err_after,5,0.07408018216963344,0.0035912348706359106
iemocap4,0.3,fixed0.9,current_observed_write_fit,text,err_after,5,0.10688221322557312,0.0020112739023264653
iemocap4,0.3,fixed0.9,current_observed_write_fit,visual,err_after,5,0.07048313945035183,0.003573000041621428
iemocap4,0.3,fixed0.9,retention,audio,err_decay,5,0.15089664778541273,0.008723860876541109
iemocap4,0.3,fixed0.9,retention,text,err_decay,5,0.17759947779439522,0.012103864083656806
iemocap4,0.3,fixed0.9,retention,visual,err_decay,5,0.15018244416545146,0.008430659247484998
iemocap4,0.3,fixed0.9,task,,accuracy,5,0.8220789685737309,0.006987746458881156
iemocap4,0.3,fixed0.9,task,,macro_f1,5,0.8143676868125124,0.007608349804688392
iemocap4,0.3,fixed0.9,task,,weighted_f1,5,0.821925043097375,0.006163871495460966
iemocap4,0.3,fixed0.95,current_observed_write_fit,audio,err_after,5,0.03851433145410579,0.0018635377657790033
iemocap4,0.3,fixed0.95,current_observed_write_fit,text,err_after,5,0.05554997501771109,0.0010494390040231027
iemocap4,0.3,fixed0.95,current_observed_write_fit,visual,err_after,5,0.036585401836168055,0.0018743645690932084
iemocap4,0.3,fixed0.95,retention,audio,err_decay,5,0.12606228071899955,0.009032595960961504
iemocap4,0.3,fixed0.95,retention,text,err_decay,5,0.1379901873256933,0.013479519148195795
iemocap4,0.3,fixed0.95,retention,visual,err_decay,5,0.12721745025881806,0.00820846753894251
iemocap4,0.3,fixed0.95,task,,accuracy,5,0.821917808219178,0.006293513034574244
iemocap4,0.3,fixed0.95,task,,macro_f1,5,0.8138986041200351,0.007169494876263983
iemocap4,0.3,fixed0.95,task,,weighted_f1,5,0.8217278562593208,0.005569241537014293
iemocap4,0.3,reference,current_observed_write_fit,audio,err_after,5,0.0017095100868207828,7.297340823771487e-05
iemocap4,0.3,reference,current_observed_write_fit,text,err_after,5,0.0024575856518830844,4.277813277505906e-05
iemocap4,0.3,reference,current_observed_write_fit,visual,err_after,5,0.0016622209957236143,8.918293307541987e-05
iemocap4,0.3,reference,retention,audio,err_decay,5,0.10561232533158643,0.009886671862499146
iemocap4,0.3,reference,retention,text,err_decay,5,0.10226713775622015,0.015079960724263403
iemocap4,0.3,reference,retention,visual,err_decay,5,0.10828461388977945,0.00864943972472781
iemocap4,0.3,reference,task,,accuracy,5,0.8201450443190975,0.006678925313489781
iemocap4,0.3,reference,task,,macro_f1,5,0.8120208908150497,0.008110205210784796
iemocap4,0.3,reference,task,,weighted_f1,5,0.8199327737698938,0.005976467383895326
iemocap4,0.5,fixed0.0,current_observed_write_fit,audio,err_after,5,1.0,0.0
iemocap4,0.5,fixed0.0,current_observed_write_fit,text,err_after,5,1.0,0.0
iemocap4,0.5,fixed0.0,current_observed_write_fit,visual,err_after,5,1.0,0.0
iemocap4,0.5,fixed0.0,retention,audio,err_decay,5,1.0,0.0
iemocap4,0.5,fixed0.0,retention,text,err_decay,5,1.0,0.0
iemocap4,0.5,fixed0.0,retention,visual,err_decay,5,1.0,0.0
iemocap4,0.5,fixed0.0,task,,accuracy,5,0.614665592264303,0.022787242102598956
iemocap4,0.5,fixed0.0,task,,macro_f1,5,0.5983143871100909,0.025417649425370104
iemocap4,0.5,fixed0.0,task,,weighted_f1,5,0.6138165823177176,0.022092330170518655
iemocap4,0.5,fixed0.2,current_observed_write_fit,audio,err_after,5,0.570336414771589,0.01884730821295656
iemocap4,0.5,fixed0.2,current_observed_write_fit,text,err_after,5,0.7375440913874665,0.011705131551505266
iemocap4,0.5,fixed0.2,current_observed_write_fit,visual,err_after,5,0.5866822887635454,0.015685319596828874
iemocap4,0.5,fixed0.2,retention,audio,err_decay,5,0.5841106937763205,0.012254803139575263
iemocap4,0.5,fixed0.2,retention,text,err_decay,5,0.7489910479971053,0.01868715114607002
iemocap4,0.5,fixed0.2,retention,visual,err_decay,5,0.6062249259695408,0.017070473060649686
iemocap4,0.5,fixed0.2,task,,accuracy,5,0.7859790491539081,0.015316593954345276
iemocap4,0.5,fixed0.2,task,,macro_f1,5,0.7762003863223672,0.016766068182125816
iemocap4,0.5,fixed0.2,task,,weighted_f1,5,0.786811827725461,0.014723448974840434
iemocap4,0.5,fixed0.4,current_observed_write_fit,audio,err_after,5,0.4095909335526892,0.01633172016269385
