dataset,seed,rate,higher_eta,lower_eta,lower_minus_higher
mosi,66,0.5,0.95,0.9,-0.0001643282859774553
mosi,66,0.5,0.9,0.8,-0.001286727579618785
mosi,66,0.5,0.8,0.6,0.0020575226208312536
mosi,66,0.5,0.6,0.4,-0.007291421244526863
mosi,66,0.5,0.4,0.2,-0.005970039601200905
mosi,66,0.5,0.2,0.0,-0.0228789781700931
mosi,66,0.7,1.0,0.95,-0.0016051298717295603
mosi,66,0.7,0.95,0.9,0.004808816556285955
mosi,66,0.7,0.9,0.8,0.0
mosi,66,0.7,0.8,0.6,0.0017359947599625558
mosi,66,0.7,0.6,0.4,-0.00902321425244057
mosi,66,0.7,0.4,0.2,-0.014984810656982761
mosi,66,0.7,0.2,0.0,-0.025674638846797104
mosi,66,all,1.0,0.95,-5.9856361331322994e-05
mosi,66,all,0.95,0.9,0.0015678332380066884
mosi,66,all,0.9,0.8,0.001239521917558939
mosi,66,all,0.8,0.6,0.002274092951228157
mosi,66,all,0.6,0.4,-0.002382082177941114
mosi,66,all,0.4,0.2,-0.006594280023150656
mosi,66,all,0.2,0.0,-0.012312927162641651
mosi,67,0,1.0,0.95,0.0
mosi,67,0,0.95,0.9,-0.001560782350045531
mosi,67,0,0.9,0.8,0.0
mosi,67,0,0.8,0.6,0.0
mosi,67,0,0.6,0.4,-0.001425709482795745
mosi,67,0,0.4,0.2,0.001620551090199318
mosi,67,0,0.2,0.0,0.00011750443316838055
mosi,67,0.1,1.0,0.95,0.0014872373056833421
mosi,67,0.1,0.95,0.9,-0.003056953535987783
mosi,67,0.1,0.9,0.8,0.001569716230304441
mosi,67,0.1,0.8,0.6,0.0029746519888360634
mosi,67,0.1,0.6,0.4,0.0016486571658707039
mosi,67,0.1,0.4,0.2,0.0
mosi,67,0.1,0.2,0.0,-0.010148670434932283
mosi,67,0.3,1.0,0.95,0.0
mosi,67,0.3,0.95,0.9,-0.0014606652843121015
mosi,67,0.3,0.9,0.8,0.0045316904089819365
mosi,67,0.3,0.8,0.6,0.0014618233431417105
mosi,67,0.3,0.6,0.4,0.004680226906198404
mosi,67,0.3,0.4,0.2,-0.01067374065832205
