dataset,missing_rate,target_modality,distance_bucket,head_count,err_pre_mean,err_decay_mean,err_post_mean,decay_damage_mean,write_damage_mean,cos_pre_mean,cos_decay_mean,cos_post_mean,norm_ratio_pre_mean,norm_ratio_decay_mean,norm_ratio_post_mean,decay_damage_median,write_damage_median
CMUMOSI,0.5,visual,4-7,216,0.2895262296208077,0.29840385751729764,0.3082296741712425,0.008877627896489921,0.009825816653944828,0.95972356007055,0.9597235655894986,0.9534460159915464,0.8460383136515264,0.8286533161169953,0.8332151806464901,0.010893270373344421,0.004492826759815216
CMUMOSI,0.5,visual,8+,24,0.31714935414493084,0.32470850832760334,0.3563443024953206,0.007559154182672501,0.0316357941677173,0.9501485278209051,0.9501485402385393,0.9373789529005686,0.8538739929596583,0.8363277614116669,0.8412874862551689,0.009668201208114624,0.02369391918182373
CMUMOSI,0.7,audio,1,1208,0.14015273278616122,0.15286807152165088,0.21874890007720088,0.012715338735489657,0.06588082858638851,0.9946626654721253,0.994662665274759,0.9737044421351508,0.8951343559962235,0.87673905432619,0.86996344592891,0.013464324176311493,0.01972968503832817
CMUMOSI,0.7,audio,2-3,1208,0.24090528174531678,0.2512388096579554,0.29233471456212023,0.010333527912638637,0.04109590477464314,0.9670322551731242,0.9670322577512225,0.9482456690551627,0.8527329859650687,0.8352090683796548,0.8334742981866495,0.011728376150131226,0.011167973279953003
CMUMOSI,0.7,audio,4-7,432,0.36933556021432634,0.3762004990475597,0.3991653353355273,0.006864938833233383,0.022964836287967586,0.9146740639849601,0.9146740670548752,0.8990040247983955,0.8207327179886676,0.8038676079638578,0.8086466124902169,0.008754312992095947,0.0073101818561553955
CMUMOSI,0.7,audio,8+,48,0.4173621339723468,0.4239394447455804,0.4178083852554361,0.006577310773233573,-0.006131059490144253,0.8979039114589492,0.8979039105276266,0.9052260735382637,0.776240681608518,0.7602901880939802,0.7501691840589046,0.007563605904579163,0.001725032925605774
CMUMOSI,0.7,text,1,1264,0.30652204130723176,0.31664110123344896,0.34454292776888307,0.01011905992621721,0.02790182656490633,0.967544068028278,0.9675440667786553,0.9526089825372719,0.7616798075363983,0.7460269052771074,0.7305848010686002,0.011047504842281342,0.005320243537425995
CMUMOSI,0.7,text,2-3,1024,0.3473466637660749,0.35736998676293297,0.37819328370824223,0.010023322996858042,0.020823296952585224,0.9472029255703092,0.9472029265889432,0.9326308951567626,0.7298464506457094,0.7148472779081203,0.7083930674998555,0.01055242121219635,0.004298299551010132
CMUMOSI,0.7,text,4-7,320,0.39294818392954767,0.4018941033864394,0.4116912543773651,0.008945919456891716,0.00979715099092573,0.9059762866003439,0.905976288439706,0.895581602922175,0.7254562046378851,0.7105471475515515,0.7116124218795449,0.009665220975875854,0.0018822550773620605
CMUMOSI,0.7,text,8+,40,0.36793611012399197,0.37577392347157,0.3809644035995007,0.007837813347578049,0.005190480127930641,0.9175573043525219,0.9175573140382767,0.9123980157077313,0.7902227908372879,0.773983183503151,0.7752014562487602,0.009393423795700073,0.0019591450691223145
