variant,seed,rate,pattern,total_count,excluded_original_neutral,count,weighted_f1
no-JEPA-regression,70,0.0,ATV,686,30,656,0.8732449084626344
no-JEPA-regression,70,0.1,V,6,0,6,0.6666666666666666
no-JEPA-regression,70,0.1,T,5,0,5,0.888888888888889
no-JEPA-regression,70,0.1,TV,64,1,63,0.9038819875776397
no-JEPA-regression,70,0.1,A,8,1,7,0.5904761904761904
no-JEPA-regression,70,0.1,AV,56,2,54,0.6643772893772892
no-JEPA-regression,70,0.1,AT,55,1,54,0.8129084967320261
no-JEPA-regression,70,0.1,ATV,492,25,467,0.8713389288330675
no-JEPA-regression,70,0.2,V,30,3,27,0.514349847683181
no-JEPA-regression,70,0.2,T,26,2,24,0.8766603415559772
no-JEPA-regression,70,0.2,TV,74,3,71,0.8725580808479094
no-JEPA-regression,70,0.2,A,25,1,24,0.6147912885662432
no-JEPA-regression,70,0.2,AV,93,3,90,0.6247399423486653
no-JEPA-regression,70,0.2,AT,85,5,80,0.849906191369606
no-JEPA-regression,70,0.2,ATV,353,13,340,0.861522677757972
no-JEPA-regression,70,0.3,V,63,3,60,0.6651785714285715
no-JEPA-regression,70,0.3,T,45,5,40,0.9
no-JEPA-regression,70,0.3,TV,115,4,111,0.7571122311724731
no-JEPA-regression,70,0.3,A,44,2,42,0.7282913165266107
no-JEPA-regression,70,0.3,AV,98,5,93,0.7456712383515087
no-JEPA-regression,70,0.3,AT,86,4,82,0.8302992812536821
no-JEPA-regression,70,0.3,ATV,235,7,228,0.8777699475373894
no-JEPA-regression,70,0.4,V,70,2,68,0.6815415821501015
no-JEPA-regression,70,0.4,T,82,5,77,0.8804966750044277
no-JEPA-regression,70,0.4,TV,95,5,90,0.8762774403813296
no-JEPA-regression,70,0.4,A,83,6,77,0.6396464646464646
no-JEPA-regression,70,0.4,AV,107,3,104,0.6631192432163305
no-JEPA-regression,70,0.4,AT,109,5,104,0.8260104302477184
no-JEPA-regression,70,0.4,ATV,140,4,136,0.9119395061568542
no-JEPA-regression,70,0.5,V,113,8,105,0.6622265122265123
no-JEPA-regression,70,0.5,T,118,8,110,0.8720395443799699
no-JEPA-regression,70,0.5,TV,84,3,81,0.8899709643095457
no-JEPA-regression,70,0.5,A,128,5,123,0.5704188118640248
no-JEPA-regression,70,0.5,AV,84,3,81,0.6166916026070955
no-JEPA-regression,70,0.5,AT,86,1,85,0.8467996378045639
no-JEPA-regression,70,0.5,ATV,73,2,71,0.8834966319657072
no-JEPA-regression,70,0.6,V,116,6,110,0.6631522232741435
no-JEPA-regression,70,0.6,T,164,6,158,0.8677234241992394
no-JEPA-regression,70,0.6,TV,62,1,61,0.8034902168164991
no-JEPA-regression,70,0.6,A,150,7,143,0.6733483621641516
no-JEPA-regression,70,0.6,AV,75,2,73,0.60399266598079
no-JEPA-regression,70,0.6,AT,80,5,75,0.8133333333333334
no-JEPA-regression,70,0.6,ATV,39,3,36,0.8888888888888888
no-JEPA-regression,70,0.7,V,194,11,183,0.6616879174256223
no-JEPA-regression,70,0.7,T,175,7,168,0.8540870893812069
no-JEPA-regression,70,0.7,TV,41,0,41,0.811588592076397
no-JEPA-regression,70,0.7,A,176,7,169,0.6679961425356875
no-JEPA-regression,70,0.7,AV,35,3,32,0.5435606060606061
no-JEPA-regression,70,0.7,AT,54,2,52,0.8621097212646508
no-JEPA-regression,70,0.7,ATV,11,0,11,1.0
Three-class,66,0.0,ATV,656,0,656,0.8641559904362123
Three-class,66,0.1,V,8,0,8,0.8681818181818182
Three-class,66,0.1,T,6,0,6,0.8000000000000002
Three-class,66,0.1,TV,60,0,60,0.9495297805642634
Three-class,66,0.1,A,6,0,6,0.6249999999999999
Three-class,66,0.1,AV,55,0,55,0.6731601731601731
Three-class,66,0.1,AT,50,0,50,0.84
Three-class,66,0.1,ATV,471,0,471,0.8613675531323707
Three-class,66,0.2,V,30,0,30,0.6398540811673507
Three-class,66,0.2,T,23,0,23,0.6790405966607339
Three-class,66,0.2,TV,85,0,85,0.9184533626534728
Three-class,66,0.2,A,21,0,21,0.6518518518518519
Three-class,66,0.2,AV,93,0,93,0.6382488479262671
Three-class,66,0.2,AT,77,0,77,0.7961432506887054
Three-class,66,0.2,ATV,327,0,327,0.8687237194862417
Three-class,66,0.3,V,41,0,41,0.7123385939741751
Three-class,66,0.3,T,41,0,41,0.951514080358195
Three-class,66,0.3,TV,77,0,77,0.8829978777373994
Three-class,66,0.3,A,47,0,47,0.6828774062816616
Three-class,66,0.3,AV,114,0,114,0.6923441660283767
Three-class,66,0.3,AT,100,0,100,0.8506905370843989
Three-class,66,0.3,ATV,236,0,236,0.8403024756576043
Three-class,66,0.4,V,93,0,93,0.6984346086521631
Three-class,66,0.4,T,68,0,68,0.8221447253705321
Three-class,66,0.4,TV,100,0,100,0.8793887945670628
Three-class,66,0.4,A,69,0,69,0.6395423340961098
Three-class,66,0.4,AV,90,0,90,0.703682646336736
Three-class,66,0.4,AT,97,0,97,0.8553016012283395
Three-class,66,0.4,ATV,139,0,139,0.8417266187050358
Three-class,66,0.5,V,118,0,118,0.6271186440677966
Three-class,66,0.5,T,120,0,120,0.8395228884590584
Three-class,66,0.5,TV,89,0,89,0.8877256563774555
Three-class,66,0.5,A,99,0,99,0.7068907197939457
Three-class,66,0.5,AV,84,0,84,0.6041820599970444
Three-class,66,0.5,AT,76,0,76,0.7781291185087561
Three-class,66,0.5,ATV,70,0,70,0.8707520345131876
Three-class,66,0.6,V,155,0,155,0.6093274661307647
Three-class,66,0.6,T,136,0,136,0.8590422310183047
Three-class,66,0.6,TV,78,0,78,0.8197876197876198
Three-class,66,0.6,A,129,0,129,0.6702734711455642
Three-class,66,0.6,AV,64,0,64,0.6045454545454545
Three-class,66,0.6,AT,61,0,61,0.9009193619849357
Three-class,66,0.6,ATV,33,0,33,0.7878787878787878
Three-class,66,0.7,V,170,0,170,0.7150460184073629
Three-class,66,0.7,T,189,0,189,0.8337472555159631
Three-class,66,0.7,TV,46,0,46,0.8233748622764641
Three-class,66,0.7,A,161,0,161,0.6463872210697051
Three-class,66,0.7,AV,37,0,37,0.6256347256347257
Three-class,66,0.7,AT,37,0,37,0.8918918918918919
Three-class,66,0.7,ATV,16,0,16,0.9372549019607843
Three-class,67,0.0,ATV,656,0,656,0.8650658007980964
Three-class,67,0.1,V,6,0,6,0.8380952380952381
Three-class,67,0.1,T,7,0,7,0.8507936507936508
