group,seed,rate,pattern,count,weighted_f1
PAM-T,70,0.4,TV,90,85.46124411442553
PAM-T,70,0.4,ATV,136,92.64705882352942
PAM-T,70,0.5,A,123,58.02986972771485
PAM-T,70,0.5,T,110,86.31196172248804
PAM-T,70,0.5,V,105,63.965140409241286
PAM-T,70,0.5,AT,85,88.1919434440443
PAM-T,70,0.5,AV,81,65.80086580086581
PAM-T,70,0.5,TV,81,86.68858436860532
PAM-T,70,0.5,ATV,71,88.50264708820298
PAM-T,70,0.6,A,143,65.65724347902567
PAM-T,70,0.6,T,158,91.77989654806215
PAM-T,70,0.6,V,110,67.11640788379397
PAM-T,70,0.6,AT,75,82.60486123492007
PAM-T,70,0.6,AV,73,56.422038046979004
PAM-T,70,0.6,TV,61,80.25286617379193
PAM-T,70,0.6,ATV,36,80.4195804195804
PAM-T,70,0.7,A,169,70.77006450492753
PAM-T,70,0.7,T,168,85.14621527866562
PAM-T,70,0.7,V,183,63.76981339888582
PAM-T,70,0.7,AT,52,86.8617848030734
PAM-T,70,0.7,AV,32,56.59313725490196
PAM-T,70,0.7,TV,41,79.02068774008423
PAM-T,70,0.7,ATV,11,90.75369075369075
