seed,write_step,rate,epoch,pattern,target,branch,count,raw_cosine,centered_cosine,real_minus_shuffle_cosine,shuffle_minus_real_smooth_l1,shuffle_minus_real_nce,retrieval_top1,chance,effective_rank,target_effective_rank,channel_std,target_channel_std,std_ratio,retrieval_over_chance
67,0.6,0.5,41,V,audio,regression,120,0.9079171419143677,0.001599942217580974,0.00042259693145751953,0.0002921447157859802,0.014084815979003906,0.0,0.008333333333333333,7.475164890289307,59.85520935058594,0.06081042438745499,0.37537017464637756,0.16200121505322645,0.0
67,0.6,0.5,41,V,audio,contrastive,120,0.046921439468860626,0.021239984780550003,0.00038839131593704224,0.0002765655517578125,0.012946128845214844,0.02500000037252903,0.008333333333333333,4.606667518615723,59.85520935058594,0.20606452226638794,0.37537017464637756,0.5489634930652488,3.0000000447034836
67,0.6,0.5,41,V,text,regression,120,0.9299390316009521,0.035462699830532074,0.0008063316345214844,0.0010444223880767822,0.026875972747802734,0.01666666753590107,0.008333333333333333,10.840619087219238,79.23615264892578,0.05184764787554741,0.3528575003147125,0.1469365050461012,2.0000001043081284
67,0.6,0.5,41,V,text,contrastive,120,0.03193928673863411,0.050393957644701004,0.004473157227039337,0.0022857189178466797,0.14910507202148438,0.01666666753590107,0.008333333333333333,6.911082744598389,79.23615264892578,0.1528184562921524,0.3528575003147125,0.433088303793611,2.0000001043081284
67,0.6,0.5,41,AV,text,regression,85,0.9330061674118042,0.006464294623583555,0.00025463104248046875,0.00031566619873046875,0.008489131927490234,0.0117647061124444,0.011764705882352941,9.20058822631836,61.0494270324707,0.04496379941701889,0.34122082591056824,0.13177331511648005,1.000000019557774
67,0.6,0.5,41,AV,text,contrastive,85,0.02913385070860386,0.01662207581102848,0.0016217902302742004,0.0010028481483459473,0.05405902862548828,0.0117647061124444,0.011764705882352941,5.592915058135986,61.0494270324707,0.1533374935388565,0.34122082591056824,0.44937905864821176,1.000000019557774
67,1.0,0.5,49,A,text,regression,125,0.919829249382019,0.041449226438999176,0.0012121200561523438,0.0010184645652770996,0.04040241241455078,0.01600000075995922,0.008,10.504793167114258,77.11595916748047,0.05642605572938919,0.37633806467056274,0.14993448982840255,2.0000000949949026
67,1.0,0.5,49,A,text,contrastive,125,0.03542467579245567,0.02353604882955551,0.002101428806781769,0.0011262297630310059,0.07004833221435547,0.01600000075995922,0.008,6.824113845825195,77.11595916748047,0.20111113786697388,0.37633806467056274,0.5343895734889897,2.0000000949949026
67,1.0,0.5,49,A,visual,regression,125,0.9048541188240051,0.2587425708770752,0.014691829681396484,0.013062544167041779,0.4897279739379883,0.024000000208616257,0.008,4.851856231689453,49.33371353149414,0.0952698290348053,0.403949499130249,0.23584588974595214,3.000000026077032
67,1.0,0.5,49,A,visual,contrastive,125,0.10867719352245331,0.16215582191944122,0.024074003100395203,0.016021907329559326,0.8024663925170898,0.024000000208616257,0.008,8.36997127532959,49.33371353149414,0.33351269364356995,0.403949499130249,0.8256296749015958,3.000000026077032
67,1.0,0.5,49,V,audio,regression,120,0.9389132261276245,-0.0027982897590845823,0.00010943412780761719,1.0132789611816406e-05,0.0036478042602539062,0.008333333767950535,0.008333333333333333,9.369780540466309,58.4812126159668,0.06181666627526283,0.3262259364128113,0.18949034817709615,1.0000000521540642
67,1.0,0.5,49,V,audio,contrastive,120,0.07437057048082352,0.11207685619592667,0.015871472656726837,0.006877005100250244,0.5290489196777344,0.008333333767950535,0.008333333333333333,11.087101936340332,58.4812126159668,0.24552731215953827,0.3262259364128113,0.7526296494367151,1.0000000521540642
67,1.0,0.5,49,V,text,regression,120,0.9210606813430786,0.0600242055952549,0.0021514296531677246,0.001863628625869751,0.0717153549194336,0.01666666753590107,0.008333333333333333,14.122391700744629,76.73766326904297,0.04742318019270897,0.3724268078804016,0.12733557088064965,2.0000001043081284
67,1.0,0.5,49,V,text,contrastive,120,0.03567199036478996,0.02121335081756115,0.0024953708052635193,0.0013933777809143066,0.08317852020263672,0.008333333767950535,0.008333333333333333,6.931339263916016,76.73766326904297,0.23158863186836243,0.3724268078804016,0.621836631971813,1.0000000521540642
67,1.0,0.5,49,AV,text,regression,85,0.9283140301704407,0.06386029720306396,0.0017428398132324219,0.0014868751168251038,0.05809450149536133,0.0235294122248888,0.011764705882352941,10.765071868896484,59.27827835083008,0.04901348054409027,0.3578019142150879,0.13698495898662652,2.000000039115548
67,1.0,0.5,49,AV,text,contrastive,85,0.03712886944413185,0.026317181065678596,0.0021107159554958344,0.0011365413665771484,0.0703577995300293,0.0117647061124444,0.011764705882352941,6.601224899291992,59.27827835083008,0.1915576457977295,0.3578019142150879,0.5353734515868944,1.000000019557774
