seed,rate,pattern,n,base_zero_fraction,gap_zero_fraction,base_norm_valid_count,base_norm_mean,base_norm_median,base_norm_p90,gap_norm_valid_count,gap_norm_mean,gap_norm_median,gap_norm_p90,difference_norm_valid_count,difference_norm_mean,difference_norm_median,difference_norm_p90,sum_norm_valid_count,sum_norm_mean,sum_norm_median,sum_norm_p90,cosine_valid_count,cosine_mean,cosine_median,cosine_p90,relative_difference_valid_count,relative_difference_mean,relative_difference_median,relative_difference_p90,gap_base_norm_ratio_valid_count,gap_base_norm_ratio_mean,gap_base_norm_ratio_median,gap_base_norm_ratio_p90,centered_base_norm_valid_count,centered_base_norm_mean,centered_base_norm_median,centered_base_norm_p90,centered_gap_norm_valid_count,centered_gap_norm_mean,centered_gap_norm_median,centered_gap_norm_p90,centered_cosine_valid_count,centered_cosine_mean,centered_cosine_median,centered_cosine_p90
66,0.3,AV,114,0.06140350877192982,0.06140350877192982,114,8.432014259113132,8.472283513078512,11.970844372550015,114,5.256445101438313,5.176364447139435,7.89853689270109,114,7.3195536912405865,7.86375420305051,9.313214058448734,114,11.91474144838467,11.818816231538134,18.266334200513345,107,0.4581184436615493,0.5050069815994688,0.716157076237459,107,0.5549748630906352,0.5512398250696314,0.7006734209892684,107,0.61883781994963,0.6284812268920503,0.7378830205943088,114,5.130730408276025,4.853785992859144,7.283407820163002,114,3.8388996058309433,3.9147351740383707,5.5442541181782,114,0.6878964649200501,0.757671390212153,0.9200487840848414
66,0.3,TV,77,0.025974025974025976,0.025974025974025976,77,9.263280379111807,9.0345716971212,12.48792662688691,77,4.974039625616248,5.139698972943122,6.138996614792354,77,8.24961002451561,7.878666412202775,11.470005157488414,77,12.416518729480657,13.060696245880969,15.30116829266833,75,0.46724005675323876,0.47468820144145046,0.5993481583189363,75,0.5771242281772273,0.5788417756604143,0.6692425838993799,75,0.5531538536901123,0.5481374906438684,0.7172276466650094,77,4.716039896874816,4.390699680223006,7.295956705017998,77,1.8042117941679883,1.6015830236332624,2.584852582291111,77,0.25193199193884963,0.2685230006427905,0.6639382333687249
66,0.4,AT,97,0.041237113402061855,0.041237113402061855,97,8.252120002994124,8.612414965619557,10.682155825308074,97,5.502941167359715,6.083658102879273,6.813299793859577,97,6.874040629198755,6.938176848193761,9.829804950769356,97,12.259105268805568,13.056191139911437,15.066416741512029,93,0.5622294829715176,0.584997454115406,0.7368019943156812,93,0.5048153368183165,0.4878870072484752,0.6244916528563837,93,0.6743133260249955,0.69868945013503,0.8661248934936135,97,4.901303736381154,4.509322668836442,7.182830495436148,97,3.0648175949799614,2.8204144441593355,4.819522081739394,97,0.40815373640789154,0.4737754192192041,0.859741878712531
66,0.4,AV,90,0.022222222222222223,0.022222222222222223,90,9.19312938326307,9.396805658920517,12.419271649062198,90,5.729852789406658,5.888778313192864,7.78166281042429,90,7.761910759289309,7.879833957738658,9.481174389191066,90,13.175354623594508,13.21523546886829,18.098706773002878,88,0.4913278907372077,0.5706404623256549,0.6979864941306926,88,0.543006433902881,0.5176795002609359,0.6848312085192049,88,0.6203080042900534,0.6403698924062295,0.7477858845696225,90,5.155034074661531,4.829316315334291,7.914825574015103,90,3.850502012834062,3.848397746427483,6.118523573243376,90,0.7096602939439185,0.7908971367614044,0.9443453850488732
66,0.4,TV,100,0.05,0.05,100,8.855978931211112,9.145817846656078,11.723738332699792,100,4.074502942231475,4.6792518802881276,5.534323266760421,100,8.06550906694711,8.287901374451764,10.781017801519443,100,11.313748168234456,11.868544032727,14.437240589368862,95,0.4288121206696919,0.45569309352356047,0.5443762932332523,95,0.6338705596481368,0.6108721242209757,0.7715830841553735,95,0.46898829713831724,0.47906044018085847,0.6744116813435165,100,5.074607087366296,4.485582299091448,7.6555890780629126,100,1.9822093045567584,1.71904500156112,3.8442077781410444,100,0.3280318139735984,0.4280773646837135,0.5813918990917101
66,0.5,AT,76,0.05263157894736842,0.05263157894736842,76,8.4063965581786,8.525829142513139,11.22675982603268,76,5.358622140803903,5.924384635544448,6.929383713547303,76,6.958341347564342,7.298086898249518,9.85388703537205,76,12.291738973803476,12.943934431937084,15.780109805248351,72,0.5570736375435759,0.5675060270514665,0.7283447930530261,72,0.5102068975537138,0.5052961322199008,0.6226601181956335,72,0.6459788638323379,0.6658573767441094,0.8381351602328417,76,5.038203459221218,4.672224022996474,7.5884099093302275,76,2.971792883101454,2.6919743297660634,4.6416179031178295,76,0.43010915038895037,0.45551934764990687,0.8235223970466596
66,0.5,AV,84,0.0,0.0,84,9.34226915708019,9.248753143764425,12.318272597462787,84,5.566592421315046,5.667395735412652,7.780475823865989,84,7.548907897382959,7.7504177218382875,9.322823211663916,84,13.351333218287586,13.091571034343886,18.18448061955229,84,0.5501712976198155,0.6181427639065378,0.7230119363221805,84,0.5207889251646401,0.5104060596806461,0.6760088533165461,84,0.5899207413873702,0.5908437574643087,0.7354149763338796,84,4.836704220602546,4.212781446585147,7.485256644635941,84,3.2213378512308863,2.8814849399426974,5.112499832156652,84,0.6057728655567061,0.6457541915031855,0.9053214344746783
66,0.5,TV,89,0.011235955056179775,0.011235955056179775,89,8.946891299633865,9.047741280704113,11.984917599890911,89,4.251145253780254,4.539080126186672,5.279881142622846,89,8.12398388065127,8.232640465051958,11.046057757976781,89,11.490663435367903,11.74977478940682,14.823062565148843,88,0.4381026090805545,0.4470538812452627,0.5386717758556627,88,0.6176363397535694,0.6161843023487348,0.6752889255351816,88,0.4872814742510968,0.47694127280238263,0.6590127220496058,89,5.00796816029809,4.8470103415298285,7.272797499617947,89,1.6281147119974622,1.4275063717216383,2.473502071984782,89,0.2181192765191489,0.298726611615013,0.5706572361973526
66,0.6,AT,61,0.04918032786885246,0.04918032786885246,61,8.42641981215908,8.2979366628621,11.888723778183236,61,5.439634278699343,5.794308073551908,6.635397046264561,61,6.964330181455103,7.008032769537583,9.93018907097689,61,12.366396021889805,12.968227860829002,16.367052988815267,58,0.5732622634070718,0.5820658471853832,0.7106332988119524,58,0.49875798374980046,0.5018489235672825,0.5876630203695224,58,0.6583778871143314,0.6682239126132041,0.8032335226776152,61,4.920699507745383,4.702199745329807,7.165601046641009,61,2.6875285209596886,2.4108716313185443,4.72618059623874,61,0.4224774834880957,0.475909300504126,0.8097764207757117
66,0.6,AV,64,0.0625,0.0625,64,8.406192124396707,8.415237291529998,11.11730657865779,64,4.621593141074557,4.836353211701619,6.980984510611827,64,7.142881486429502,7.638708253530632,8.833735732854489,64,11.528034862579553,11.591252614075742,16.68603320363649,60,0.487001484461825,0.539180264039167,0.6975308104235158,60,0.5670660552323353,0.5538258437150315,0.6851600865134675,60,0.5466050430124854,0.5741759062129506,0.6586966494528202,64,4.868383797515721,4.420999315569003,7.179757256855725,64,3.265814938249183,3.171199759967492,4.882677516947802,64,0.6758024568867518,0.7506385826786843,0.9386631463565225
