branch,pattern,target,metric,mean_delta,std_delta,positive_seeds,negative_seeds
regression,V,audio,centered_cosine,-0.018365907529368997,0.053180942943060014,2,3
regression,V,audio,real_minus_shuffle_cosine,-0.0003119349479675293,0.0010295527395635486,3,2
regression,V,audio,shuffle_minus_real_smooth_l1,-0.0002775207161903381,0.0008931189727278719,3,2
regression,V,audio,shuffle_minus_real_nce,-0.010395622253417969,0.03431729898601868,3,2
regression,V,audio,retrieval_top1,-0.0050365783274173735,0.004607697887247396,0,3
regression,V,audio,chance,0.0,0.0,0,0
regression,V,audio,effective_rank,0.5644694328308105,3.974272538936895,3,2
regression,V,audio,target_effective_rank,1.334783172607422,2.4832142554022143,3,2
regression,V,audio,channel_std,-0.00933217965066433,0.017106893905333622,2,3
regression,V,audio,target_channel_std,0.02219611406326294,0.06612641153143743,3,2
regression,V,audio,std_ratio,-0.04104186611665866,0.06734118156246992,1,4
regression,V,audio,retrieval_over_chance,-0.600000019185245,0.547722575018819,0,3
contrastive,A,text,count,0.0,0.0,0,0
contrastive,A,text,raw_cosine,0.008492511510849,0.02831441648455639,2,3
contrastive,A,text,centered_cosine,-0.00036959201097488405,0.02566664485463849,3,2
contrastive,A,text,real_minus_shuffle_cosine,-0.0010696884244680404,0.002083960669111558,2,3
contrastive,A,text,shuffle_minus_real_smooth_l1,-0.0007556438446044922,0.001366032971641869,2,3
contrastive,A,text,shuffle_minus_real_nce,-0.03565654754638672,0.06946482182428898,2,3
contrastive,A,text,retrieval_top1,-0.012429612688720226,0.013820994519412688,1,4
contrastive,A,text,chance,0.0,0.0,0,0
contrastive,A,text,effective_rank,1.402707815170288,1.5126160896779133,4,1
contrastive,A,text,target_effective_rank,2.1297454833984375,4.871051804155977,4,1
contrastive,A,text,channel_std,-0.09179428964853287,0.1395772330931355,1,4
contrastive,A,text,target_channel_std,-0.005434983968734741,0.012655425302222271,1,4
contrastive,A,text,std_ratio,-0.2320339934664321,0.35948887736758595,1,4
contrastive,A,text,retrieval_over_chance,-1.4000000176951288,1.5165750731508643,1,4
contrastive,V,text,count,0.0,0.0,0,0
contrastive,V,text,raw_cosine,0.010951066762208939,0.028114602077087786,2,3
contrastive,V,text,centered_cosine,0.005947492271661759,0.018152611759673646,4,1
contrastive,V,text,real_minus_shuffle_cosine,-0.00016086101531982423,0.0018826256350647648,3,2
