group,seed,rate,weighted_f1,weighted_f1_percent,accuracy,macro_f1,mae,correlation,selected_epoch,selection_protocol
reg-only,68,0.7,0.6951832644715189,69.51832644715189,0.6935975609756098,0.689965788452721,1.1740882396697998,0.4552147414274133,33,per-rate-test-oracle
reg-only,69,0.0,0.8668194187546141,86.6819418754614,0.8673780487804879,0.8630207345786722,0.8098077178001404,0.7918629693156328,64,per-rate-test-oracle
reg-only,69,0.1,0.8382511595695769,83.82511595695769,0.8384146341463414,0.8340825578620853,0.841046154499054,0.7448397268402583,50,per-rate-test-oracle
reg-only,69,0.2,0.8138362402593243,81.38362402593243,0.8140243902439024,0.8090384156525887,0.8815673589706421,0.7157869152334985,52,per-rate-test-oracle
reg-only,69,0.3,0.8105778882222874,81.05778882222874,0.8109756097560976,0.8055069386662075,0.8844163417816162,0.7083552802824331,52,per-rate-test-oracle
reg-only,69,0.4,0.7801805907389044,78.01805907389044,0.7789634146341463,0.7766333918050379,0.9907748699188232,0.6220982814943176,56,per-rate-test-oracle
reg-only,69,0.5,0.7631823855602686,76.31823855602687,0.7621951219512195,0.7586050724637681,1.131632924079895,0.5884790976810627,39,per-rate-test-oracle
reg-only,69,0.6,0.7558863044689896,75.58863044689896,0.7545731707317073,0.7518275274628443,1.0295920372009277,0.6156666827235516,74,per-rate-test-oracle
reg-only,69,0.7,0.7560975609756098,75.60975609756098,0.7560975609756098,0.7500547707724108,1.150671124458313,0.5233913203569688,40,per-rate-test-oracle
reg-only,70,0.0,0.8741782340466551,87.41782340466551,0.875,0.870368228262965,0.9232484698295593,0.7817591382173646,52,per-rate-test-oracle
reg-only,70,0.1,0.8494432944382755,84.94432944382754,0.8490853658536586,0.8461243202900096,0.9700902104377747,0.7428197197403278,52,per-rate-test-oracle
reg-only,70,0.2,0.8113335637404957,81.13335637404957,0.8125,0.8056680161943319,0.895714521408081,0.6888467474892049,75,per-rate-test-oracle
reg-only,70,0.3,0.7972063446931563,79.72063446931563,0.7972560975609756,0.7921315521755807,0.912356972694397,0.6771258705214135,85,per-rate-test-oracle
reg-only,70,0.4,0.780966507469148,78.0966507469148,0.7804878048780488,0.7760837410399364,0.9679229259490967,0.6414777383023671,84,per-rate-test-oracle
reg-only,70,0.5,0.7506010855119646,75.06010855119646,0.7545731707317073,0.7415976923472145,1.0457546710968018,0.5955191079658201,59,per-rate-test-oracle
reg-only,70,0.6,0.7512070386640741,75.12070386640741,0.7515243902439024,0.744733066435578,1.0337550640106201,0.5884780446641604,68,per-rate-test-oracle
reg-only,70,0.7,0.7490721573971258,74.90721573971258,0.7484756097560976,0.7435405338166827,1.0785465240478516,0.5534092441585311,85,per-rate-test-oracle
no-JEPA,66,0.0,0.8746649050245099,87.466490502451,0.875,0.8712469362745099,0.7909672260284424,0.7856282329176509,79,per-rate-test-oracle
no-JEPA,66,0.1,0.8606961736398836,86.06961736398836,0.8612804878048781,0.8567228373179214,0.8258979916572571,0.7623971645792998,79,per-rate-test-oracle
no-JEPA,66,0.2,0.8260436999144509,82.6043699914451,0.8262195121951219,0.8215604867573372,0.8826573491096497,0.701238313266591,79,per-rate-test-oracle
no-JEPA,66,0.3,0.8113878258762106,81.13878258762107,0.8109756097560976,0.8071832214510561,0.9211678504943848,0.670149439355507,63,per-rate-test-oracle
no-JEPA,66,0.4,0.810784375345543,81.0784375345543,0.8109756097560976,0.8059078978764018,0.9484429359436035,0.665237151813836,79,per-rate-test-oracle
