variant,seed,rate,pattern,count,excluded_original_neutral,weighted_f1
modality-tracks,69,0.7,A,149,7,0.5140918247683184
modality-tracks,69,0.7,AV,45,3,0.6
modality-tracks,69,0.7,AT,43,4,0.952896210163652
modality-tracks,69,0.7,ATV,14,1,0.9297173414820473
modality-tracks,70,0.0,ATV,656,30,0.8666445834613147
modality-tracks,70,0.1,V,6,0,0.6666666666666666
modality-tracks,70,0.1,T,5,0,1.0
modality-tracks,70,0.1,TV,63,1,0.8872427983539094
modality-tracks,70,0.1,A,7,1,0.5714285714285715
modality-tracks,70,0.1,AV,54,2,0.6685057471264366
modality-tracks,70,0.1,AT,54,1,0.7754901960784314
modality-tracks,70,0.1,ATV,467,25,0.8671465833163241
modality-tracks,70,0.2,V,27,3,0.48148148148148145
modality-tracks,70,0.2,T,24,2,0.837037037037037
modality-tracks,70,0.2,TV,71,3,0.8556272701141917
modality-tracks,70,0.2,A,24,1,0.6666666666666666
modality-tracks,70,0.2,AV,90,3,0.6552578507634688
modality-tracks,70,0.2,AT,80,5,0.8491514770584537
modality-tracks,70,0.2,ATV,340,13,0.8499153460956187
modality-tracks,70,0.3,V,60,3,0.6789636722050126
modality-tracks,70,0.3,T,40,5,0.9
modality-tracks,70,0.3,TV,111,4,0.855140855140855
modality-tracks,70,0.3,A,42,2,0.569467146126185
modality-tracks,70,0.3,AV,93,5,0.6167741935483871
modality-tracks,70,0.3,AT,82,4,0.8766768292682927
modality-tracks,70,0.3,ATV,228,7,0.844822486201588
modality-tracks,70,0.4,V,68,2,0.6935267257587965
modality-tracks,70,0.4,T,77,5,0.8305581197605071
modality-tracks,70,0.4,TV,90,5,0.8222222222222222
modality-tracks,70,0.4,A,77,6,0.5624278499278499
modality-tracks,70,0.4,AV,104,3,0.5778632478632478
modality-tracks,70,0.4,AT,104,5,0.8552409129332207
modality-tracks,70,0.4,ATV,136,4,0.8970588235294118
modality-tracks,70,0.5,V,105,8,0.574243747311898
modality-tracks,70,0.5,T,110,8,0.8253157695018161
modality-tracks,70,0.5,TV,81,3,0.8788814066591845
modality-tracks,70,0.5,A,123,5,0.626302849299365
modality-tracks,70,0.5,AV,81,3,0.6676852559205502
modality-tracks,70,0.5,AT,85,1,0.8583033213285315
modality-tracks,70,0.5,ATV,71,2,0.8726931726103225
