method,mode,seed,rate,weighted_f1
U1,Top2,67,0.0,87.38661660891802
U1,Top2,67,0.1,81.33504513356284
U1,Top2,67,0.2,79.5184113088833
U1,Top2,67,0.3,75.87775971735385
U1,Top2,67,0.4,71.94966852593979
U1,Top2,67,0.5,66.802135793943
U1,Top2,67,0.6,64.83871819237672
U1,Top2,67,0.7,64.68638649046594
U1,Top2,68,0.0,87.74958571752225
U1,Top2,68,0.1,82.5110897579815
U1,Top2,68,0.2,79.34382521272764
U1,Top2,68,0.3,77.8681108014054
U1,Top2,68,0.4,75.55813107865787
U1,Top2,68,0.5,71.2115264361773
U1,Top2,68,0.6,69.87614651913657
U1,Top2,68,0.7,63.152835207342505
U1,Top2,69,0.0,87.20121463804566
U1,Top2,69,0.1,83.59881658662148
U1,Top2,69,0.2,76.93973635886482
U1,Top2,69,0.3,75.81030436573374
U1,Top2,69,0.4,71.3806620209059
U1,Top2,69,0.5,67.74158515370785
U1,Top2,69,0.6,65.15209326847146
U1,Top2,69,0.7,67.84309819695005
U1,Top2,70,0.0,87.466490502451
U1,Top2,70,0.1,83.67677105723553
U1,Top2,70,0.2,78.28270393093541
U1,Top2,70,0.3,74.30836785463836
U1,Top2,70,0.4,74.6357964023808
U1,Top2,70,0.5,70.33339214665459
U1,Top2,70,0.6,70.13616748877321
U1,Top2,70,0.7,65.85678987846859
U2,Top2,66,0.0,86.72044163908976
U2,Top2,66,0.1,84.76335075957819
U2,Top2,66,0.2,78.73477050306319
U2,Top2,66,0.3,75.81030436573374
U2,Top2,66,0.4,74.48939123537576
U2,Top2,66,0.5,71.29632213597496
U2,Top2,66,0.6,68.67531667523893
U2,Top2,66,0.7,65.57828658348006
U2,Top2,67,0.0,87.38661660891802
U2,Top2,67,0.1,81.18553727934115
U2,Top2,67,0.2,79.5184113088833
U2,Top2,67,0.3,75.88292591680126
U2,Top2,67,0.4,72.08801062731712
U2,Top2,67,0.5,67.42265662022444
U2,Top2,67,0.6,64.53901191546379
U2,Top2,67,0.7,64.83979455309029
U2,Top2,68,0.0,87.74958571752225
U2,Top2,68,0.1,82.5110897579815
U2,Top2,68,0.2,79.34382521272764
U2,Top2,68,0.3,78.57539866417662
U2,Top2,68,0.4,75.41366879345975
U2,Top2,68,0.5,71.1201700079032
U2,Top2,68,0.6,69.39910455173714
U2,Top2,68,0.7,63.41361043948592
U2,Top2,69,0.0,87.20121463804566
U2,Top2,69,0.1,83.59881658662148
U2,Top2,69,0.2,76.6343024033531
U2,Top2,69,0.3,75.81030436573374
U2,Top2,69,0.4,70.81703438570051
U2,Top2,69,0.5,67.42311115133415
U2,Top2,69,0.6,64.99587524866358
U2,Top2,69,0.7,67.53829344052303
U2,Top2,70,0.0,87.466490502451
U2,Top2,70,0.1,83.82511595695769
U2,Top2,70,0.2,77.97682652151197
U2,Top2,70,0.3,74.0300057420726
U2,Top2,70,0.4,74.55452012169788
U2,Top2,70,0.5,70.30864065010519
U2,Top2,70,0.6,70.1219512195122
U2,Top2,70,0.7,65.25790550486813
U3,Top2,66,0.0,86.72044163908976
U3,Top2,66,0.1,84.60735980043582
U3,Top2,66,0.2,78.73477050306319
U3,Top2,66,0.3,76.38863836918536
U3,Top2,66,0.4,74.64486662417211
U3,Top2,66,0.5,71.60006475887471
U3,Top2,66,0.6,68.80050423880863
U3,Top2,66,0.7,65.41457212931368
U3,Top2,67,0.0,87.38661660891802
U3,Top2,67,0.1,81.18096745537568
U3,Top2,67,0.2,79.50621356862918
U3,Top2,67,0.3,76.3301920611066
U3,Top2,67,0.4,72.11125759906247
U3,Top2,67,0.5,66.38997957467258
U3,Top2,67,0.6,64.99746579744794
U3,Top2,67,0.7,64.83140740605022
U3,Top2,68,0.0,87.74958571752225
U3,Top2,68,0.1,82.5110897579815
U3,Top2,68,0.2,79.34382521272764
U3,Top2,68,0.3,78.13632960435676
U3,Top2,68,0.4,74.51049146523893
U3,Top2,68,0.5,71.39173151604787
U3,Top2,68,0.6,69.16988837720545
U3,Top2,68,0.7,62.96604626236244
U3,Top2,69,0.0,87.20121463804566
U3,Top2,69,0.1,83.59881658662148
U3,Top2,69,0.2,76.65930814726202
U3,Top2,69,0.3,75.95760495327374
U3,Top2,69,0.4,70.98358220707927
U3,Top2,69,0.5,67.14003116603091
U3,Top2,69,0.6,64.6974621257696
U3,Top2,69,0.7,67.71303695324966
U3,Top2,70,0.0,87.466490502451
U3,Top2,70,0.1,83.82511595695769
U3,Top2,70,0.2,78.61363254122598
U3,Top2,70,0.3,74.30836785463836
U3,Top2,70,0.4,74.6162930725332
U3,Top2,70,0.5,70.47959089199433
U3,Top2,70,0.6,70.35580906304429
U3,Top2,70,0.7,65.85678987846859
U1,Oracle-Best,66,0.0,86.72044163908976
U1,Oracle-Best,66,0.1,84.91919482935064
U1,Oracle-Best,66,0.2,78.88333993080639
U1,Oracle-Best,66,0.3,76.24166870144786
U1,Oracle-Best,66,0.4,74.17793561086243
U1,Oracle-Best,66,0.5,71.44383467554199
U1,Oracle-Best,66,0.6,68.81907393292683
U1,Oracle-Best,66,0.7,65.43585273515073
U1,Oracle-Best,67,0.0,87.38661660891802
U1,Oracle-Best,67,0.1,81.33504513356284
U1,Oracle-Best,67,0.2,79.49359586428334
U1,Oracle-Best,67,0.3,75.5795664943711
U1,Oracle-Best,67,0.4,71.51070039533212
U1,Oracle-Best,67,0.5,67.04647234608689
U1,Oracle-Best,67,0.6,64.38893228226124
U1,Oracle-Best,67,0.7,65.14289977246021
U1,Oracle-Best,68,0.0,87.74958571752225
U1,Oracle-Best,68,0.1,82.67261416650966
U1,Oracle-Best,68,0.2,79.1809710086619
U1,Oracle-Best,68,0.3,77.84351667272999
