method,seed,rate,candidate_count_mean,bank_nonempty_coverage,ndcg@1,ndcg@3,top1_utility,top1_oracle_hit,candidate0_prob_mean,candidate0_select_rate
U1,69,0.1,11.337837837837839,0.9324324324324325,0.00010743277048625471,0.059752242025601365,5.440615495899692e-05,0.2702702702702703,0.20921894907951355,0.24324324324324326
U1,69,0.2,10.82857142857143,0.95,0.13408891342742582,0.2079094482180768,0.0011103805154561996,0.20714285714285716,0.17174726724624634,0.06428571428571428
U1,69,0.3,8.278947368421052,0.9631578947368421,0.10416002607029763,0.18047983575199947,0.0049140360206365585,0.39473684210526316,0.22283554077148438,0.35789473684210527
U1,69,0.4,8.125925925925927,0.9481481481481482,0.119143102776933,0.22489336624436082,0.00117082754150033,0.32222222222222224,0.21723726391792297,0.43333333333333335
U1,69,0.5,7.326153846153846,0.9230769230769231,0.6514355207179074,0.6947783344454228,0.05455026030540466,0.3415384615384615,0.24266956746578217,0.10461538461538461
U1,69,0.6,7.46,0.9285714285714286,0.17356780086814688,0.2696387568779856,0.002358761616051197,0.35714285714285715,0.24891385436058044,0.13714285714285715
U1,69,0.7,6.440318302387268,0.9257294429708223,0.23698636969497028,0.3554740788711083,0.026806456968188286,0.4323607427055703,0.2763032913208008,0.27055702917771884
U1,70,0.1,12.685714285714285,0.9571428571428572,0.023952923507816328,0.28181672326660884,0.001350950333289802,0.17142857142857143,0.2178218811750412,0.9571428571428572
U1,70,0.2,10.41891891891892,0.9594594594594594,0.325649846242658,0.4075437859028848,0.02924909070134163,0.3310810810810811,0.1900474578142166,0.20945945945945946
U1,70,0.3,9.93170731707317,0.9414634146341463,0.2894997538397233,0.411068846994181,0.024951158091425896,0.24878048780487805,0.2061387151479721,0.18048780487804877
U1,70,0.4,8.3,0.9346153846153846,0.346053415683136,0.421099800758116,0.0630989745259285,0.35,0.2188730686903,0.07307692307692308
U1,70,0.5,7.796923076923077,0.9569230769230769,0.2877096640745559,0.37883492046586825,0.025562923401594162,0.35384615384615387,0.20637443661689758,0.04923076923076923
U1,70,0.6,6.912023460410557,0.8973607038123167,0.38970148746505817,0.45637125052166044,0.029070710763335228,0.3519061583577713,0.2689032256603241,0.15835777126099707
U1,70,0.7,6.385185185185185,0.9407407407407408,0.307628896549706,0.38845000035000365,0.03091343492269516,0.4049382716049383,0.2514072060585022,0.13580246913580246
U2,66,0.1,11.520547945205479,0.9726027397260274,0.35142941885866863,0.4215507818727972,0.0041790129616856575,0.2191780821917808,0.15856419503688812,0.0684931506849315
U2,66,0.2,10.080536912751677,0.9530201342281879,0.17571229810244887,0.2640530183400434,0.0023639104329049587,0.174496644295302,0.18472599983215332,0.10738255033557047
U2,66,0.3,9.914691943127963,0.9241706161137441,0.1759376046459572,0.27499586277841953,0.027136242017149925,0.2559241706161137,0.2175864279270172,0.12322274881516587
U2,66,0.4,8.47148288973384,0.9163498098859315,0.3754658064929695,0.42171008660186515,0.009946804493665695,0.34220532319391633,0.21844185888767242,0.18250950570342206
U2,66,0.5,7.611650485436893,0.9514563106796117,0.09083152158924707,0.25577256507013796,0.0018109321827068925,0.284789644012945,0.23782610893249512,0.4919093851132686
U2,66,0.6,6.429752066115703,0.9173553719008265,0.14954278801113893,0.28709342979499164,0.0020215173717588186,0.2727272727272727,0.2760053873062134,0.3691460055096419
U2,66,0.7,6.361256544502618,0.8664921465968587,0.0035684821169964945,0.13832455143077255,3.2817817555041984e-05,0.29581151832460734,0.3276665210723877,0.8350785340314136
U2,67,0.1,13.438356164383562,0.9452054794520548,0.12294925880651633,0.3097007196787861,0.007962148636579514,0.2191780821917808,0.1686258316040039,0.6301369863013698
U2,67,0.2,10.382352941176471,0.9411764705882353,0.025955378767980212,0.23412948793374178,0.0005139180575497448,0.16176470588235295,0.22961857914924622,0.7794117647058824
U2,67,0.3,9.351219512195122,0.9512195121951219,0.33069617642167687,0.4394529424713603,0.020556315779685974,0.24878048780487805,0.21500028669834137,0.2048780487804878
U2,67,0.4,8.026415094339622,0.9509433962264151,0.6390700302545287,0.685481500240854,0.06547144800424576,0.29056603773584905,0.2137415111064911,0.14339622641509434
U2,67,0.5,7.306060606060606,0.8909090909090909,0.19131739380448126,0.26872141015900625,0.020436957478523254,0.37272727272727274,0.2678517997264862,0.19696969696969696
U2,67,0.6,6.005347593582887,0.9224598930481284,0.1321310840554906,0.2573478877300004,0.002211636397987604,0.3663101604278075,0.2998775839805603,0.47058823529411764
