group,seed,rate,pattern,count,weighted_f1
PAM-E,70,0.5,AT,86,84.70292963701034
PAM-E,70,0.5,ATV,73,90.14305102909007
PAM-E,70,0.6,V,116,61.14058355437666
PAM-E,70,0.6,T,164,87.10783070200692
PAM-E,70,0.6,TV,62,82.22533894343151
PAM-E,70,0.6,A,150,66.46283309957924
PAM-E,70,0.6,AV,75,63.200391006842615
PAM-E,70,0.6,AT,80,82.2314578005115
PAM-E,70,0.6,ATV,39,84.51254627725217
PAM-E,70,0.7,V,194,58.54361705733497
PAM-E,70,0.7,T,175,83.84761904761906
PAM-E,70,0.7,TV,41,88.14979058881497
PAM-E,70,0.7,A,176,70.65772936740679
PAM-E,70,0.7,AV,35,60.0
PAM-E,70,0.7,AT,54,92.5925925925926
PAM-E,70,0.7,ATV,11,100.0
