dataset,seed,rate,sample_id,modality,anchor_time,start_time,end_time,gap_length,distance_bucket,boundary,cumulative_write,cumulative_decay,error_start,error_end,error_change,write_per_step,decay_per_step,overlap_mean,overlap_max,overlap_sum,overlap_steps,closure_error,continuity_error,head_count
IEMOCAPFour,69,0.5,seed69:Ses05F_impro08,visual,24,25,25,1,1,observed_or_end_unresolved,0.08786458987742662,0.019036656944081187,0.0010182586702285334,0.10791950370185077,0.10690124503162224,0.08786458987742662,0.019036656944081187,0.25680583994835615,0.5233655571937561,0.25680583994835615,1,7.799826562404633e-09,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_script01_1,audio,24,25,25,1,1,observed_or_end_unresolved,0.05988220451399684,0.018839215161278844,0.0016899588299565949,0.08041137852706015,0.07872141969710356,0.05988220451399684,0.018839215161278844,0.14834693912416697,0.2636146545410156,0.14834693912416697,1,3.259629011154175e-09,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_script03_1,text,24,25,26,2,2-3,observed_or_end_unresolved,0.3061811928637326,0.024034710600972176,0.0022470209223683923,0.3324629245325923,0.3302159036102239,0.1530905964318663,0.012017355300486088,0.2720905104652047,0.715317964553833,0.5441810209304094,2,1.0244548320770264e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_script03_1,visual,24,25,25,1,1,observed_or_end_unresolved,0.13393368292599916,0.019122127210721374,0.0014657043648185208,0.1545215139631182,0.15305580959829967,0.13393368292599916,0.019122127210721374,0.26617162011098117,0.5779948234558105,0.26617162011098117,1,7.101334631443024e-09,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_script03_2,visual,24,25,26,2,2-3,observed_or_end_unresolved,0.13766677770763636,0.028434048406779766,0.001083474518964067,0.16718429932370782,0.16610082480474375,0.06883338885381818,0.014217024203389883,0.20490934420377016,0.5695512890815735,0.4098186884075403,2,7.683411240577698e-09,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_script02_2,visual,24,25,27,3,2-3,observed_or_end_unresolved,0.305588556220755,0.02635443746112287,0.001426169699698221,0.3333691665902734,0.33194299689057516,0.10186285207358499,0.008784812487040957,0.18882884938890734,0.5119384527206421,0.5664865481667221,3,3.4458935260772705e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_impro03,visual,24,25,25,1,1,observed_or_end_unresolved,0.35665397346019745,0.019516289001330733,0.0005131846046424471,0.376683440990746,0.3761702563861036,0.35665397346019745,0.019516289001330733,0.43898577615618706,0.6949242353439331,0.43898577615618706,1,1.798616722226143e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_impro07,visual,25,26,27,2,2-3,observed_or_end_unresolved,0.26225577387958765,0.01667132368311286,0.0019163768592989072,0.2808434758335352,0.2789270989742363,0.13112788693979383,0.00833566184155643,0.281152123818174,0.5751761198043823,0.562304247636348,2,1.1874362826347351e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_impro03,visual,25,26,26,1,1,observed_or_end_unresolved,0.15325767709873617,0.01922815409488976,0.0014739919715793803,0.17395982425659895,0.17248583228501957,0.15325767709873617,0.01922815409488976,0.21260913088917732,0.5902895331382751,0.21260913088917732,1,5.820766091346741e-09,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_impro04,text,25,26,26,1,1,observed_or_end_unresolved,0.10698044835589826,0.018811256624758244,0.002051313131232746,0.12784301722422242,0.12579170409298968,0.10698044835589826,0.018811256624758244,0.23391784145496786,0.5807944536209106,0.23391784145496786,1,5.704350769519806e-09,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_impro04,visual,25,26,27,2,2-3,observed_or_end_unresolved,0.09361141012050211,0.026671535801142454,0.0018197671452071518,0.1221027122810483,0.12028294513584115,0.04680570506025106,0.013335767900571227,0.17642840708140284,0.489234983921051,0.3528568141628057,2,3.6088749766349792e-09,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_impro06,audio,25,26,26,1,1,observed_or_end_unresolved,0.1663439490366727,0.019089408684521914,0.0018622962161316536,0.18729565478861332,0.18543335857248167,0.1663439490366727,0.019089408684521914,0.3380837803706527,0.742430567741394,0.3380837803706527,1,7.101334631443024e-09,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_script03_2,audio,25,26,26,1,1,observed_or_end_unresolved,0.282461722381413,0.018637600354850292,0.0020228547509759665,0.3031221767887473,0.30109932203777134,0.282461722381413,0.018637600354850292,0.32040139101445675,0.5263335704803467,0.32040139101445675,1,1.1408701539039612e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_script03_2,text,25,26,27,2,2-3,observed_or_end_unresolved,0.39696452114731073,0.019653565250337124,0.0022733955847797915,0.4188914839178324,0.4166180883330526,0.19848226057365537,0.009826782625168562,0.3170129251666367,0.7235062122344971,0.6340258503332734,2,1.1292286217212677e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_script02_1,text,25,26,26,1,1,observed_or_end_unresolved,0.02919510519132018,0.01937647839076817,0.0017648347420617938,0.05033641820773482,0.04857158346567303,0.02919510519132018,0.01937647839076817,0.1971984476549551,0.6396120190620422,0.1971984476549551,1,1.862645149230957e-09,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_impro05,text,25,26,27,2,2-3,observed_or_end_unresolved,0.44150633877143264,0.030227654613554478,0.003459547515376471,0.47519353963434696,0.4717339921189705,0.22075316938571632,0.015113827306777239,0.2495855710003525,0.6846864223480225,0.499171142000705,2,1.5832483768463135e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_impro05,visual,25,26,26,1,1,observed_or_end_unresolved,0.1704176152125001,0.01891245786100626,0.0021714623289881274,0.1915015373378992,0.18933007500891108,0.1704176152125001,0.01891245786100626,0.2780985999852419,0.5369755029678345,0.2780985999852419,1,9.080395102500916e-09,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_script02_2,visual,25,26,28,3,2-3,observed_or_end_unresolved,0.28153486642986536,0.021244054660201073,0.0008503242934239097,0.3036292502656579,0.302778925972234,0.09384495547662179,0.007081351553400357,0.26871452170113724,0.6436410546302795,0.8061435651034117,3,1.507578417658806e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_impro05,audio,25,26,27,2,2-3,observed_or_end_unresolved,0.333015663549304,0.01452293386682868,0.0019429167732596397,0.3494815193116665,0.34753860253840685,0.166507831774652,0.00726146693341434,0.2424689899198711,0.5223262310028076,0.4849379798397422,2,1.548323780298233e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_script01_3,audio,25,26,26,1,1,observed_or_end_unresolved,0.3005735855549574,0.01902283332310617,0.0014109863550402224,0.3210074035450816,0.3195964171900414,0.3005735855549574,0.01902283332310617,0.3528009206056595,0.6684149503707886,0.3528009206056595,1,1.5599653124809265e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_script01_3,visual,25,26,26,1,1,observed_or_end_unresolved,0.17874853312969208,0.019040427403524518,0.000982239680524799,0.19877119828015566,0.19778895859963086,0.17874853312969208,0.019040427403524518,0.19957445189356804,0.49984437227249146,0.19957445189356804,1,1.3154931366443634e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_impro04,text,25,26,28,3,2-3,observed_or_end_unresolved,0.11595748085528612,0.02818331471644342,0.002019463267060928,0.14616025891155005,0.14414079564448912,0.03865249361842871,0.009394438238814473,0.31419319845736027,0.5828320980072021,0.9425795953720808,3,4.889443516731262e-09,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_impro08,audio,25,26,26,1,1,observed_or_end_unresolved,0.0714367302134633,0.01928755221888423,0.0009407115285284817,0.09166499390266836,0.09072428237413988,0.0714367302134633,0.01928755221888423,0.24411967326886952,0.5163569450378418,0.24411967326886952,1,5.122274160385132e-09,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_impro07,text,25,26,26,1,1,observed_or_end_unresolved,0.3548477441072464,0.018099667504429817,0.0021793501946376637,0.3751267623156309,0.37294741212099325,0.3548477441072464,0.018099667504429817,0.30807792767882347,0.6722902655601501,0.30807792767882347,1,1.280568540096283e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_impro07,visual,25,26,27,2,2-3,observed_or_end_unresolved,0.547932755202055,0.017709701089188457,0.0014234922418836504,0.5670659504830837,0.5656424582412001,0.2739663776010275,0.008854850544594228,0.268699161009863,0.623631477355957,0.537398322019726,2,3.5157427191734314e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_script03_1,audio,25,26,26,1,1,observed_or_end_unresolved,0.11582749034278095,0.018865327117964625,0.0012905706971650943,0.1359833898022771,0.134692819105112,0.11582749034278095,0.018865327117964625,0.20712246233597398,0.4805622696876526,0.20712246233597398,1,7.799826562404633e-09,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_impro06,visual,25,26,26,1,1,observed_or_end_unresolved,0.06799501040950418,0.019273674814030528,0.0011012686518370174,0.08836995344609022,0.0872686847942532,0.06799501040950418,0.019273674814030528,0.22780798887833953,0.562360405921936,0.22780798887833953,1,4.0745362639427185e-09,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_impro03,audio,25,26,29,4,4-7,observed_or_end_unresolved,0.39141855016350746,0.020193210802972317,0.001321776166150812,0.4129335321485996,0.4116117559824488,0.09785463754087687,0.005048302700743079,0.2758525146637112,0.6016976833343506,1.1034100586548448,4,2.5960616767406464e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_script01_1,visual,25,26,27,2,2-3,observed_or_end_unresolved,0.5394102355930954,0.013031497364863753,0.001567766346852295,0.5540095027536154,0.5524417364067631,0.2697051177965477,0.006515748682431877,0.29511852702125907,0.754632830619812,0.5902370540425181,2,5.8906152844429016e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_impro07,text,26,27,27,1,1,observed_or_end_unresolved,0.1782962055876851,0.017769959988072515,0.0032208482589339837,0.19928701035678387,0.19606616209784988,0.1782962055876851,0.017769959988072515,0.22095827385783195,0.48059383034706116,0.22095827385783195,1,1.210719347000122e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_impro04,audio,26,27,27,1,1,observed_or_end_unresolved,0.16210552980192006,0.01916418131440878,0.0009898537755361758,0.18225956545211375,0.18126971167657757,0.16210552980192006,0.01916418131440878,0.29546267818659544,0.6703024506568909,0.29546267818659544,1,7.334165275096893e-09,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_script03_2,visual,26,27,27,1,1,observed_or_end_unresolved,0.15363520942628384,0.019306550035253167,0.0017102064593927935,0.1746519661974162,0.1729417597380234,0.15363520942628384,0.019306550035253167,0.2144609186798334,0.4746105968952179,0.2144609186798334,1,9.66247171163559e-09,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_impro05,audio,26,27,28,2,2-3,observed_or_end_unresolved,0.4406606783159077,0.022469339659437537,0.001606827659998089,0.4647368434816599,0.4631300158216618,0.22033033915795386,0.011234669829718769,0.22934010450262576,0.6741081476211548,0.4586802090052515,2,1.525040715932846e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_impro05,text,26,27,30,4,4-7,observed_or_end_unresolved,0.4323058067820966,0.025011555524542928,0.0022263897844823077,0.4595437552779913,0.457317365493509,0.10807645169552416,0.006252888881135732,0.25263941002776846,0.6413738131523132,1.0105576401110739,4,1.30385160446167e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_impro08,text,26,27,27,1,1,observed_or_end_unresolved,0.2435034103691578,0.019100008299574256,0.002180559269618243,0.2647839756682515,0.26260341639863327,0.2435034103691578,0.019100008299574256,0.3187730882782489,0.6655195951461792,0.3187730882782489,1,8.614733815193176e-09,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_impro08,visual,26,27,28,2,2-3,observed_or_end_unresolved,0.3046863579656929,0.027720681158825755,0.0011774215890909545,0.3335844585672021,0.33240703697811114,0.15234317898284644,0.013860340579412878,0.23934252705657855,0.5982032418251038,0.4786850541131571,2,1.2456439435482025e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_script01_3,visual,26,27,27,1,1,observed_or_end_unresolved,0.2792637445963919,0.019359345315024257,0.0018218416371382773,0.3004449368454516,0.2986230952083133,0.2792637445963919,0.019359345315024257,0.35515606217086315,0.7075058221817017,0.35515606217086315,1,2.0256265997886658e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_script03_1,audio,26,27,27,1,1,observed_or_end_unresolved,0.5616814740933478,0.018611237639561296,0.002173809116357006,0.5824665194377303,0.5802927103213733,0.5616814740933478,0.018611237639561296,0.3072456754744053,0.6713001728057861,0.3072456754744053,1,4.3190084397792816e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_impro02,text,26,27,27,1,1,observed_or_end_unresolved,0.11290530301630497,0.018997412407770753,0.0021012260403949767,0.134003940038383,0.13190271399798803,0.11290530301630497,0.018997412407770753,0.32734495028853416,0.6422742605209351,0.32734495028853416,1,8.381903171539307e-09,0.0,8
