dataset,seed,rate,modality,head_records,conversations,mean_decay_damage,mean_write_damage,mean_paired_difference,median_paired_difference,fraction_paired_positive,conversation_mean_paired,positive_conversation_count
IEMOCAPFour,68,0.3,text,2816,30,0.014242173273404742,0.20257256307840263,0.1883303898049979,0.1159468200057745,0.8227982954545454,0.1833012277785847,30
IEMOCAPFour,68,0.3,audio,2656,31,0.01340938276886177,0.23483957932961835,0.22143019656075658,0.1475487072020769,0.8655873493975904,0.2260901276842577,31
IEMOCAPFour,68,0.5,text,4240,31,0.012003220465991928,0.15730312144765982,0.1452999009816679,0.07535925321280956,0.7695754716981132,0.14511226429906018,31
IEMOCAPFour,68,0.5,audio,4576,31,0.010968496792394524,0.1785034870717046,0.16753499027931007,0.0914591383188963,0.7795017482517482,0.17039474031248103,31
IEMOCAPFour,68,0.5,visual,4496,31,0.011805376385958381,0.15690402546317525,0.14509864907721687,0.07906319759786129,0.7846975088967971,0.14922031227687896,31
IEMOCAPFour,68,0.7,audio,5248,31,0.009305148667985255,0.15122108573197648,0.14191593706399122,0.0682998588308692,0.7589557926829268,0.14823282826179834,31
IEMOCAPFour,68,0.7,text,5536,31,0.010535961305022757,0.12812002354878205,0.1175840622437593,0.051059335470199585,0.7276011560693642,0.12442798163814413,31
IEMOCAPFour,68,0.7,visual,5464,30,0.00990522928732975,0.12570808088256244,0.11580285159523271,0.05197274684906006,0.734809663250366,0.11652206103022046,30
IEMOCAPFour,69,0.1,audio,864,28,0.017248264759675495,0.2718776373464304,0.2546293725867549,0.19185135420411825,0.9050925925925926,0.2602907302669114,28
IEMOCAPFour,69,0.1,visual,1104,31,0.016715048636863197,0.2676611069726515,0.25094605833578826,0.17367045860737562,0.8931159420289855,0.25321889952887194,31
IEMOCAPFour,69,0.1,text,944,30,0.017378611610492027,0.24318697322475707,0.22580836161426504,0.15051222499459982,0.8930084745762712,0.2283035200665195,30
IEMOCAPFour,69,0.3,text,2736,31,0.014122638646826387,0.21970640721816667,0.20558376857134028,0.11746567767113447,0.8355263157894737,0.20097454915164134,31
IEMOCAPFour,69,0.3,visual,2808,31,0.014063118790485963,0.21501219442891661,0.20094907563843067,0.12719839066267014,0.8468660968660968,0.20755750398784878,31
IEMOCAPFour,69,0.3,audio,2832,31,0.013899254058829724,0.21853210203123336,0.20463284797240364,0.12927234545350075,0.8569915254237288,0.20816120557076603,31
IEMOCAPFour,69,0.5,visual,4200,31,0.011744148473344034,0.15901349371587414,0.1472693452425301,0.07493497896939516,0.7690476190476191,0.15134528883718815,31
IEMOCAPFour,69,0.5,text,4536,31,0.012030756736676845,0.18144350854463948,0.16941275180796264,0.08595008216798306,0.7749118165784833,0.1784219521572966,31
IEMOCAPFour,69,0.5,audio,4312,31,0.011298781245513189,0.17170668404323874,0.16040790279772554,0.07710799016058445,0.7648423005565863,0.1628446184738746,31
IEMOCAPFour,69,0.7,audio,5544,30,0.008967237067603726,0.13887734387122352,0.1299101068036198,0.05076509714126587,0.7178932178932179,0.13547645416938936,30
IEMOCAPFour,69,0.7,text,5504,31,0.010432713606352863,0.14553854385878875,0.1351058302524359,0.052442180924117565,0.7227470930232558,0.13594672536918775,31
IEMOCAPFour,69,0.7,visual,5360,31,0.009960988706756217,0.13227136828606503,0.12231037957930882,0.05349648930132389,0.7279850746268657,0.1280090902142248,31
IEMOCAPFour,70,0.1,text,1032,31,0.016953988788584465,0.22821571308281996,0.21126172429423548,0.15366567391902208,0.9011627906976745,0.212611994880342,31
IEMOCAPFour,70,0.1,visual,936,26,0.017176716801368147,0.2759470223990452,0.25877030559767705,0.20366364996880293,0.9316239316239316,0.2823115618153319,26
