run,dataset,seed,rate,modality,head,distance_bucket,n,overlap_mean,damage_mean,damage_median,damage_positive_fraction,pearson,spearman
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,6,8+,6,0.30978639299670857,0.06631079812844594,0.04099792242050171,0.5,0.7574883820097759,0.7714285714285715
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,7,1,151,0.09222063565910454,0.025890872289506806,0.011691594496369362,0.9205298013245033,0.7533406534543124,0.7713733008016731
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,7,2-3,151,0.08773504871727023,0.009507654247102358,0.001379266381263733,0.609271523178808,0.4396123851843285,0.2844092018124782
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,7,4-7,54,0.10180083803694558,0.006349136432011922,0.0020768344402313232,0.5925925925925926,0.46748527282750507,0.4005717552887364
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,7,8+,6,0.1261473416040341,0.008148151139418284,0.010629117488861084,0.6666666666666666,0.8499187809140576,0.6571428571428571
mosi_seed66_rate0.7,CMUMOSI,66,0.7,text,0,1,158,0.2163118056104153,0.06840309857897743,0.046940721571445465,0.9936708860759493,0.6525612414274715,0.7818939118502979
mosi_seed66_rate0.7,CMUMOSI,66,0.7,text,0,2-3,128,0.2110183531185612,0.02007303142454475,0.005064968019723892,0.71875,0.3532190305411269,0.2583833089177806
mosi_seed66_rate0.7,CMUMOSI,66,0.7,text,0,4-7,40,0.2419208546169102,0.004010622575879097,-0.0002761334180831909,0.5,0.25675999822933376,-0.1474671669793621
mosi_seed66_rate0.7,CMUMOSI,66,0.7,text,0,8+,5,0.10004638433456421,0.0006884902715682984,0.001428753137588501,0.8,-0.6390065734540318,-0.1
mosi_seed66_rate0.7,CMUMOSI,66,0.7,text,1,1,158,0.0710920320552644,0.010923926447388491,0.00587424635887146,0.9113924050632911,0.2356693391618933,0.4612989249405576
mosi_seed66_rate0.7,CMUMOSI,66,0.7,text,1,2-3,128,0.07283990240830462,0.0024056155525613576,0.0008404646068811417,0.625,0.1952130332964647,0.1633171580296649
mosi_seed66_rate0.7,CMUMOSI,66,0.7,text,1,4-7,40,0.07210873668082059,0.00033616069704294204,0.0002361387014389038,0.6,0.3649266732267026,0.3711069418386492
mosi_seed66_rate0.7,CMUMOSI,66,0.7,text,1,8+,5,0.1102501854300499,0.000488308072090149,-0.0002789050340652466,0.4,0.4605737565863329,0.5
mosi_seed66_rate0.7,CMUMOSI,66,0.7,text,2,1,158,0.36740221649031096,0.13222334872271063,0.0800342708826065,1,0.22620382838123362,0.2509420271115175
mosi_seed66_rate0.7,CMUMOSI,66,0.7,text,2,2-3,128,0.36255038785748184,0.019737415947020054,0.003718223422765732,0.5859375,0.18614821923797042,0.21480154733565282
