dataset,seed,rate,modality,bucket,gaps,mean_gap_length,cumulative_write_mean,cumulative_write_median,cumulative_decay_mean,cumulative_decay_median,error_change_mean,error_change_median,write_per_step_mean,write_per_step_median,overlap_mean_mean,overlap_mean_median,overlap_max_mean,overlap_max_median,overlap_sum_mean,overlap_sum_median
IEMOCAPFour,66,0.7,audio,1,124,1,0.24003990970724712,0.2222389185335487,0.019207494310854424,0.019225413212552667,0.2592474042114132,0.24162431359764014,0.24003990970724712,0.2222389185335487,0.25796185264686844,0.27337609557434916,0.48412878510932766,0.5178893506526947,0.25796185264686844,0.27337609557434916
IEMOCAPFour,66,0.7,text,4-7,46,4.695652173913044,0.46273045217031206,0.4630783051252365,0.029909099421828338,0.030683145043440163,0.4926395506467404,0.48016135855868924,0.10208784229289374,0.09947560357977636,0.27409697195498645,0.2780766610521823,0.6345475614070892,0.6344542503356934,1.2771662432047457,1.2566218285355717
IEMOCAPFour,66,0.7,text,2-3,115,2.391304347826087,0.37902702408862987,0.36424262449145317,0.023627389708290928,0.02412235247902572,0.40265441364735244,0.38314502478169743,0.1631844980458297,0.15891454135999084,0.2682700537253117,0.27302954827124876,0.6204003248525702,0.6242549419403076,0.6399443187214353,0.6013231817632914
IEMOCAPFour,66,0.7,audio,4-7,39,4.769230769230769,0.5035535648871118,0.5104444418102503,0.028260057386106405,0.024437405401840806,0.5318136207874303,0.5332813194545452,0.10799070561677956,0.10986582129262387,0.24305067646765077,0.2512280754279345,0.6178324940877084,0.6257245540618896,1.146572278914018,1.0986875025555491
IEMOCAPFour,66,0.7,audio,8+,9,8.88888888888889,0.6156725822171817,0.6146578281186521,0.03686059036085175,0.03109336970373988,0.6525331742096669,0.6664208341317135,0.06959532642702146,0.07595999901079468,0.24354738189394462,0.24683395010005268,0.6491711205906339,0.6599168181419373,2.1713911368149437,2.221505550900474
IEMOCAPFour,66,0.7,text,8+,4,8.75,0.6282172562787309,0.6061690049245954,0.028379640833009034,0.023293863399885595,0.6565968934046396,0.6273070093993738,0.07096059620542089,0.06735211165828837,0.2538628648973018,0.2604266795808346,0.6839573234319687,0.7065228819847107,2.2457802283170167,2.3438401162275113
IEMOCAPFour,66,0.7,visual,8+,5,9.6,0.7664709302596748,0.6736693598795682,0.0078109255991876125,0.00598518829792738,0.7742818528487987,0.6835078803851502,0.08205047397133303,0.08122052997350693,0.2857741857056565,0.2847893411817495,0.6874940156936645,0.6790728569030762,2.696258836868219,2.827087508048862
IEMOCAPFour,67,0.1,text,2-3,12,2.0833333333333335,0.43482526834122837,0.42427470115944743,0.020560062878454726,0.020494310883805156,0.4553853296577775,0.44762421342602465,0.2075587208253435,0.21213735057972372,0.33789104533368824,0.3403502383735031,0.6767441431681315,0.6721282303333282,0.7024543259952528,0.6867877368349582
IEMOCAPFour,67,0.1,visual,1,90,1,0.3022032142539198,0.28111583564896137,0.019270038346035613,0.019285116228275,0.3214732521932294,0.3000738572955015,0.3022032142539198,0.28111583564896137,0.3079904603616645,0.3140741279348731,0.6043330614765485,0.6215736269950867,0.3079904603616645,0.3140741279348731
IEMOCAPFour,67,0.1,audio,1,92,1,0.28965244678092067,0.2845917355734855,0.01933515587133234,0.019292525597847998,0.3089876029988891,0.3037911542051006,0.28965244678092067,0.2845917355734855,0.2799852185970572,0.28971876529976726,0.5386006547057111,0.5561587512493134,0.2799852185970572,0.28971876529976726
IEMOCAPFour,67,0.1,text,1,92,1,0.26797001225666306,0.25028944853693247,0.019257999802230977,0.01926647638902068,0.28722801243833124,0.2698438292281935,0.26797001225666306,0.25028944853693247,0.3264210136916043,0.32200077129527926,0.5871877819299698,0.5900126695632935,0.3264210136916043,0.32200077129527926
IEMOCAPFour,67,0.1,visual,2-3,8,2.125,0.3733939001103863,0.3398960097692907,0.017489781574113294,0.01625007134862244,0.3908836823297861,0.3559796130812174,0.17536235102064288,0.16877424468596777,0.2940030274136613,0.3049378355499357,0.6292367093265057,0.6805479228496552,0.6370195818599313,0.6098756710998714
IEMOCAPFour,67,0.1,audio,2-3,7,2,0.36629945379016654,0.3666254971176386,0.018974019347557,0.016909178579226136,0.38527347127767697,0.3828249437865452,0.18314972689508327,0.1833127485588193,0.24260736276794756,0.2263538760598749,0.5038435714585441,0.49718135595321655,0.4852147255358951,0.4527077521197498
IEMOCAPFour,67,0.3,visual,2-3,76,2.1710526315789473,0.3965946213973343,0.3808086318895221,0.020306072491956383,0.01991686236578971,0.416900693529789,0.3986879491058062,0.18506895043231597,0.17032879701582715,0.2794097343560823,0.28045740810921416,0.6411983806051706,0.6680566370487213,0.6067743780256837,0.5829301001504064
IEMOCAPFour,67,0.3,audio,1,192,1,0.2647329824891737,0.25942013994790614,0.01933774941547502,0.01933310565073043,0.2840707319929739,0.2787133586425625,0.2647329824891737,0.25942013994790614,0.2591764872186104,0.2453895783983171,0.5194750442945709,0.5140653252601624,0.2591764872186104,0.2453895783983171
IEMOCAPFour,67,0.3,visual,1,175,1,0.2678835237491876,0.25756044033914804,0.019377417214480892,0.019391309469938278,0.28726094132389074,0.27682405399536947,0.2678835237491876,0.25756044033914804,0.27182757000771485,0.2777735386043787,0.5645397133486612,0.5648789405822754,0.27182757000771485,0.2777735386043787
IEMOCAPFour,67,0.3,text,4-7,6,4.5,0.5537075765508538,0.5836406836751848,0.028019723404819768,0.029606939759105444,0.5817272994269539,0.6122431547773886,0.12712995610652594,0.12439488273230381,0.2901554093508619,0.2989303372451104,0.6757328808307648,0.6746511161327362,1.2964100890870516,1.1957213489804417
IEMOCAPFour,67,0.3,audio,4-7,4,4,0.5631664693937637,0.5168988178484142,0.009646577585954219,0.009225448011420667,0.5728130472234625,0.5234656446482404,0.14079161734844092,0.12922470446210355,0.2593006536917528,0.24719221107079647,0.6459321230649948,0.6498777568340302,1.0372026147670113,0.9887688442831859
IEMOCAPFour,67,0.3,text,2-3,69,2.1884057971014492,0.3612572464491308,0.3604891689028591,0.02260233757113093,0.02290938561782241,0.38385958414880367,0.38408071905723773,0.1665711873340317,0.1694396132370457,0.2956224447622409,0.29269849602133036,0.6340615792550902,0.6419262290000916,0.6486766333000032,0.6117130620405078
IEMOCAPFour,67,0.3,audio,2-3,53,2.2264150943396226,0.33358762691781485,0.33222179114818573,0.02161902919376515,0.021315511548891664,0.3552066562658852,0.349987179695745,0.1510943771404384,0.14903790992684662,0.2393486772820576,0.2336627719923854,0.5711162022824557,0.601115345954895,0.5321180542254433,0.49122964811977
IEMOCAPFour,67,0.3,text,1,159,1,0.25738281771282917,0.24559992575086653,0.019304398901953873,0.019357821438461542,0.27668721675176783,0.26545432465718477,0.25738281771282917,0.24559992575086653,0.3070018537805281,0.3023788221180439,0.5823122321059869,0.5920668840408325,0.3070018537805281,0.3023788221180439
