run,dataset,seed,rate,conversation,n,overlap_mean,damage_mean,damage_median,damage_positive_fraction,pearson,spearman
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05M_impro02,144,0.2874152848445293,0.2530378528818902,0.20011748373508453,0.9861111111111112,0.6568523134865026,0.7114821959649545
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05M_impro03,432,0.313041481387767,0.25252433830044335,0.17195168882608414,0.9328703703703703,0.6127811513640203,0.6841067583071516
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05M_impro04,224,0.2545027583463317,0.20891679571442573,0.12790706753730774,0.8839285714285714,0.6822952147345144,0.6660666239590006
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05M_impro05,216,0.296483185030175,0.23208789151437856,0.14828835427761078,0.8379629629629629,0.5331203425666843,0.5341454411221853
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05M_impro06,192,0.2976471449316402,0.2019475549168419,0.12720315903425217,0.890625,0.6234180343235469,0.6157156227111196
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05M_impro07,608,0.31153975210710133,0.24686598590434236,0.16206591576337814,0.899671052631579,0.656500008121912,0.694363550471361
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05M_impro08,304,0.28972189960155736,0.24551446986458214,0.17491259425878525,0.944078947368421,0.6293497624510935,0.7861633876933853
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05M_script01_1,192,0.29281608635695494,0.26881100213116343,0.20057521015405655,0.9322916666666666,0.6358079822026768,0.7117638282288473
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05M_script01_1b,160,0.27558262590318916,0.2201668101013638,0.11002300679683685,0.9125,0.6377943916071082,0.7214607992499708
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05M_script01_2,80,0.2830530170118436,0.22716088297311215,0.15461163222789764,0.9125,0.6451805784210485,0.6718706047819972
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05M_script01_3,288,0.27705203449457055,0.18665173969283286,0.11490046977996826,0.8645833333333334,0.5249121827374983,0.5080672871731189
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05M_script02_1,160,0.2810771205753554,0.17729931626236067,0.10755950585007668,0.85625,0.4468164201442298,0.45479901558654634
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05M_script02_2,264,0.26575559183644754,0.16213898772063354,0.09849930927157402,0.8939393939393939,0.5240417204967981,0.587322685206321
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05M_script03_1,248,0.2924873819048967,0.23646069813760057,0.16264820098876953,0.8911290322580645,0.6140576502207755,0.6215833688679231
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05M_script03_2,312,0.2974081958632152,0.25405625293019396,0.16268173605203629,0.9391025641025641,0.6276662039961064,0.7413839563352111
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05F_impro01,64,0.25725710403639823,0.22258295729989186,0.08127579092979431,0.8125,0.72163512403397,0.6390567765567765
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05F_impro02,344,0.26430958747690503,0.18645852223731751,0.10925678163766861,0.877906976744186,0.6141402909143545,0.6376989449542637
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05F_impro03,872,0.29589204292599147,0.19989983947229906,0.12514128163456917,0.8646788990825688,0.6048186043215149,0.6423756487661874
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05F_impro04,608,0.24621221569740506,0.12490213036194052,0.06165586970746517,0.8157894736842105,0.6038389672440774,0.5442975479658073
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05F_impro05,672,0.25792462204394506,0.13516425101607593,0.05977876856923103,0.8125,0.5332435148905025,0.5555684115655373
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05F_impro06,616,0.23956516126545702,0.13063409392625192,0.0635647177696228,0.8409090909090909,0.6718117726855385,0.6407056121330541
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05F_impro07,728,0.2902963331921006,0.20474563828403397,0.118235033005476,0.8873626373626373,0.6531729914300605,0.6640309611423779
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05F_impro08,472,0.27363716911769204,0.12799643545995576,0.058024218305945396,0.8347457627118644,0.5783277753505751,0.5897553498323252
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05F_script01_1,360,0.25474717397656704,0.13540900733011466,0.05923588201403618,0.7944444444444444,0.5057786408608712,0.4917766855196928
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05F_script01_2,128,0.26347681515471777,0.1332600588502828,0.05826711654663086,0.84375,0.4262721904438259,0.4574196575718733
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05F_script01_3,408,0.2541131422644956,0.17627471021157415,0.09116239100694656,0.8676470588235294,0.5789917866904378,0.578736627924029
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05F_script02_1,288,0.2694699422055338,0.18262248508916754,0.11789161339402199,0.8645833333333334,0.6376061658755352,0.6607851174903246
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05F_script02_2,344,0.26405720945263583,0.16542824456836422,0.10150173306465149,0.813953488372093,0.6024073822675274,0.5594932007181033
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05F_script03_1,368,0.286690415524746,0.22309649067566448,0.11645565181970596,0.8668478260869565,0.5438941571245843,0.5856251860113673
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05F_script03_2,544,0.2850077135774293,0.19542960603105122,0.11770045757293701,0.8511029411764706,0.5740994804396746,0.593364128052762
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05M_impro01,112,0.2580489855525749,0.12289453294527318,0.05425957217812538,0.7410714285714286,0.47416662053274594,0.3705367820412068
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05M_impro02,256,0.23848754715072573,0.13476915459614247,0.07983341068029404,0.87109375,0.5463646286004132,0.6378290226596475
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05M_impro03,680,0.28427681650637704,0.17124944266534464,0.08187124878168106,0.8132352941176471,0.591849554265451,0.5398246968527181
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05M_impro04,456,0.26370689875380904,0.14252759410035715,0.07224103435873985,0.7609649122807017,0.5326806597781552,0.4774992944404438
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05M_impro05,360,0.24958831320982428,0.1834041348968943,0.11226361244916916,0.8388888888888889,0.6213859181098536,0.6220883905997217
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05M_impro06,296,0.25767830494048727,0.15289415858333577,0.10113951936364174,0.8513513513513513,0.6428806039105439,0.6274976054637071
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05M_impro07,912,0.27869552707814266,0.1630371842827452,0.09197655320167542,0.819078947368421,0.5569575162170999,0.5422549235065462
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05M_impro08,528,0.27965889398227306,0.16100216742118142,0.08624483644962311,0.8200757575757576,0.4952023187841542,0.5416292339463766
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05M_script01_1,304,0.2797378519807305,0.19419681339671738,0.11536195874214172,0.8486842105263158,0.5381619760402668,0.600904672003007
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05M_script01_1b,264,0.2527710728393162,0.14053557709452102,0.04662475734949112,0.7537878787878788,0.5617901181300368,0.4943578840271573
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05M_script01_2,64,0.28889772901311517,0.28742615575902164,0.15085900574922562,0.875,0.6701076502929939,0.5869047619047619
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05M_script01_3,408,0.2882179082097376,0.2030864344252383,0.1191796250641346,0.8651960784313726,0.5933082740155877,0.5919048960182284
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05M_script02_1,296,0.24692782358820173,0.15797770510402484,0.07112890109419823,0.8074324324324325,0.5323028023895687,0.5427814563407783
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05M_script02_2,416,0.25424811836945505,0.19186500898257902,0.10589893534779549,0.8725961538461539,0.7047526549247919,0.7139354674818021
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05M_script03_1,400,0.28225020767655223,0.18527400800958277,0.11401813477277756,0.8475,0.6496657505104141,0.6729932687079294
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,seed69:Ses05M_script03_2,480,0.28945408698540026,0.23638706946124632,0.15342258661985397,0.8895833333333333,0.5924677339304301,0.6925842777095387
iemocap4_seed69_rate0.7,IEMOCAPFour,69,0.7,seed69:Ses05F_impro01,32,0.19183964951662347,0.19040105055319145,0.075224868953228,0.9375,0.7415770561552294,0.8500733137829912
iemocap4_seed69_rate0.7,IEMOCAPFour,69,0.7,seed69:Ses05F_impro02,560,0.23310011690482496,0.11136486122850328,0.05296193063259125,0.7803571428571429,0.6205846332386823,0.536971646684369
iemocap4_seed69_rate0.7,IEMOCAPFour,69,0.7,seed69:Ses05F_impro03,1136,0.27234972001735486,0.1604061434143813,0.07186795771121979,0.7887323943661971,0.5957951078469194,0.5455222717519301
iemocap4_seed69_rate0.7,IEMOCAPFour,69,0.7,seed69:Ses05F_impro04,688,0.24556331258527067,0.14830156315800322,0.07598884403705597,0.8357558139534884,0.6623432658170636,0.6409323903915687
iemocap4_seed69_rate0.7,IEMOCAPFour,69,0.7,seed69:Ses05F_impro05,816,0.23648111422046306,0.11792653734457917,0.0492926761507988,0.7867647058823529,0.55633119511169,0.5206728235744666
iemocap4_seed69_rate0.7,IEMOCAPFour,69,0.7,seed69:Ses05F_impro06,672,0.2327792145868963,0.1007958063135101,0.04228301718831062,0.7708333333333334,0.5708492931439603,0.5456582336865142
iemocap4_seed69_rate0.7,IEMOCAPFour,69,0.7,seed69:Ses05F_impro07,920,0.27106249607066907,0.14665579590743974,0.06599350646138191,0.7934782608695652,0.5926155117285111,0.566357325461211
iemocap4_seed69_rate0.7,IEMOCAPFour,69,0.7,seed69:Ses05F_impro08,616,0.26298678769766315,0.13127817379842913,0.060861315578222275,0.7532467532467533,0.5140212731225724,0.4801569818093517
iemocap4_seed69_rate0.7,IEMOCAPFour,69,0.7,seed69:Ses05F_script01_1,400,0.24023525326745584,0.13801241044420748,0.06964267045259476,0.8125,0.6047606655430156,0.5509328183301145
iemocap4_seed69_rate0.7,IEMOCAPFour,69,0.7,seed69:Ses05F_script01_2,160,0.269548839845811,0.16220863861963153,0.061609476804733276,0.725,0.5538460623805836,0.4366752607523731
iemocap4_seed69_rate0.7,IEMOCAPFour,69,0.7,seed69:Ses05F_script01_3,552,0.23510544280103152,0.12091850237988368,0.05324777029454708,0.7663043478260869,0.5256492714870814,0.4472376450967435
iemocap4_seed69_rate0.7,IEMOCAPFour,69,0.7,seed69:Ses05F_script02_1,360,0.24145403494282316,0.11046519305350053,0.04100281745195389,0.7805555555555556,0.5758175163139805,0.5448510046295896
iemocap4_seed69_rate0.7,IEMOCAPFour,69,0.7,seed69:Ses05F_script02_2,496,0.2462135216600502,0.13223642056372256,0.056025125086307526,0.7782258064516129,0.5679033084594071,0.5058954167770764
iemocap4_seed69_rate0.7,IEMOCAPFour,69,0.7,seed69:Ses05F_script03_1,504,0.2504863452539587,0.14506494615315682,0.05384575575590134,0.7876984126984127,0.6213395824643483,0.5505225131999142
iemocap4_seed69_rate0.7,IEMOCAPFour,69,0.7,seed69:Ses05F_script03_2,696,0.2510981052590737,0.12162935371703372,0.0490696094930172,0.7686781609195402,0.5710970741383823,0.5194766029555024
iemocap4_seed69_rate0.7,IEMOCAPFour,69,0.7,seed69:Ses05M_impro01,120,0.24541946731818218,0.12338265298555294,0.06742478162050247,0.7166666666666667,0.45263201392435115,0.4369122855753872
