run,dataset,seed,rate,overlap_bucket,n,overlap_mean,damage_mean,damage_median,damage_positive_fraction,pearson,spearman,conversation_count,conversation_equal_damage_mean
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,"[.4,.6)",1749,0.48707391973425146,0.38223488812253364,0.34481871128082275,0.9279588336192109,0.1794530498661624,0.2027143053397533,31,0.3845011435833965
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,"[.6,1]",557,0.6795313814170056,0.6072066743562209,0.5789381265640259,0.9533213644524237,0.22293986772328278,0.25727240064669177,31,0.6147030723101226
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,"[0,.1)",2788,0.050899683876488216,0.01908727365892001,0.008630495518445969,0.7456958393113343,0.37988426245769696,0.41923986185127665,31,0.018735247950708526
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,"[.1,.2)",2881,0.14985642663899165,0.07707434477131324,0.06218329071998596,0.8368622006247831,0.22031382700217228,0.22062342181335468,31,0.0789562911236913
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,"[.2,.4)",4102,0.2891474461908575,0.17361019621796175,0.1530248448252678,0.8627498781082399,0.19896953237691123,0.20369030995977555,31,0.17454675565947206
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,"[.4,.6)",2470,0.490903811102454,0.32126632267797767,0.29765792191028595,0.8838056680161943,0.17889293332118195,0.1850958649787102,31,0.3291985370092515
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,"[.6,1]",807,0.6844499945788283,0.5580425053428688,0.5387300848960876,0.9033457249070632,0.13549971107118555,0.1424083489183182,31,0.6058315533236062
iemocap4_seed69_rate0.7,IEMOCAPFour,69,0.7,"[0,.1)",4072,0.04926266829178564,0.01460385473659134,0.00597677007317543,0.7003929273084479,0.3009697867339433,0.3278962202828428,31,0.015148186909765576
iemocap4_seed69_rate0.7,IEMOCAPFour,69,0.7,"[.1,.2)",3799,0.14764431636916803,0.0633320182411843,0.05196228623390198,0.7841537246643854,0.19209274864374323,0.17527999297321134,31,0.06923683469653069
iemocap4_seed69_rate0.7,IEMOCAPFour,69,0.7,"[.2,.4)",4796,0.28685061479790497,0.144928220155384,0.1260736957192421,0.8225604670558799,0.20774213859479085,0.197249291870375,31,0.15131630613197675
iemocap4_seed69_rate0.7,IEMOCAPFour,69,0.7,"[.4,.6)",2768,0.4880628906448797,0.2909273466046878,0.2709963023662567,0.8536849710982659,0.20142731546055964,0.1834972807366474,31,0.3135790878615952
iemocap4_seed69_rate0.7,IEMOCAPFour,69,0.7,"[.6,1]",973,0.6846336870007256,0.4928332998781998,0.5092724561691284,0.8869475847893115,0.1939628949986935,0.191660009861346,31,0.4922252057526828
iemocap4_seed70_rate0.1,IEMOCAPFour,70,0.1,"[0,.1)",384,0.05899186078264999,0.034775083302520216,0.025091643445193768,0.8932291666666666,0.5399722955252082,0.6268954935404022,31,0.03654652458397384
iemocap4_seed70_rate0.1,IEMOCAPFour,70,0.1,"[.1,.2)",616,0.1519131325427201,0.1155704499506573,0.10013717412948608,0.9642857142857143,0.24807228424086608,0.2581360450831139,31,0.11639102600359655
iemocap4_seed70_rate0.1,IEMOCAPFour,70,0.1,"[.2,.4)",1214,0.29627639769624053,0.25293612997224046,0.23292315006256104,0.9703459637561779,0.27815055459990523,0.30302588528009367,31,0.2512121701221562
iemocap4_seed70_rate0.1,IEMOCAPFour,70,0.1,"[.4,.6)",714,0.488477542662487,0.4481393665450962,0.41602782905101776,0.9803921568627451,0.26354870658626567,0.289509665320242,31,0.435114188126127
iemocap4_seed70_rate0.1,IEMOCAPFour,70,0.1,"[.6,1]",136,0.6611736083731932,0.5971317183335915,0.5776319205760956,0.9779411764705882,0.095527334362269,0.040775726348933734,27,0.5880565218759951
iemocap4_seed70_rate0.3,IEMOCAPFour,70,0.3,"[0,.1)",1364,0.05371553881952124,0.030288098403867172,0.019783053547143936,0.842375366568915,0.5107292746715415,0.5882091401604809,31,0.031056898875296623
iemocap4_seed70_rate0.3,IEMOCAPFour,70,0.3,"[.1,.2)",1667,0.15065643563196196,0.10469495734601016,0.09481335431337357,0.9196160767846431,0.2506391732643632,0.25167182874409944,31,0.1051244383422054
iemocap4_seed70_rate0.3,IEMOCAPFour,70,0.3,"[.2,.4)",2992,0.29270368876224534,0.2299898766898824,0.21015234291553497,0.9418449197860963,0.2650770944977723,0.2762012504748175,31,0.22966513322734972
iemocap4_seed70_rate0.3,IEMOCAPFour,70,0.3,"[.4,.6)",1576,0.4840102190255816,0.4016166574175134,0.38296233117580414,0.9511421319796954,0.20610902251740548,0.21914477650305814,31,0.397668796958618
iemocap4_seed70_rate0.3,IEMOCAPFour,70,0.3,"[.6,1]",337,0.6603142125670209,0.5724336076251477,0.5531570911407471,0.9465875370919882,0.13353083981214764,0.09501631671227653,31,0.5792951117963164
iemocap4_seed70_rate0.5,IEMOCAPFour,70,0.5,"[0,.1)",2825,0.05106061892435614,0.02227806935894542,0.012705512344837189,0.7883185840707965,0.450000404845877,0.49115609457433335,31,0.021588079794592322
