group,rate,mode,n_seeds,mean,sd
one_missing,0.4,gap_to_base,5,78.34518149739704,2.8385627360152896
one_missing,0.4,move_base_to_gap,5,78.45659913952922,2.33868122329356
one_missing,0.4,move_gap_to_base,5,76.91440459160708,2.443635164606168
one_missing,0.4,swap,5,78.38466095536134,2.5716179175176856
one_missing,0.5,normal,5,79.75539219287482,0.910757391892623
one_missing,0.5,no_gap,5,78.07009366597379,0.9544292377675279
one_missing,0.5,no_base,5,78.37411016247034,1.0213077264956272
one_missing,0.5,base_to_gap,5,79.36231273720821,0.7232390261648601
one_missing,0.5,gap_to_base,5,79.78921355497565,1.1449647676240549
one_missing,0.5,move_base_to_gap,5,79.11999512672315,1.2920077632719522
one_missing,0.5,move_gap_to_base,5,78.13438823112955,1.0736758177178745
one_missing,0.5,swap,5,79.83124250852805,1.0052020025570343
one_missing,0.6,normal,5,78.13921932946717,5.839952700289221
one_missing,0.6,no_gap,5,78.23155156734612,5.769802944137488
one_missing,0.6,no_base,5,77.36186004549468,4.9456100500572395
one_missing,0.6,base_to_gap,5,78.02762406618488,4.838191583011249
one_missing,0.6,gap_to_base,5,77.61962003817594,6.075044501097408
one_missing,0.6,move_base_to_gap,5,78.37462580498922,5.096105387438402
one_missing,0.6,move_gap_to_base,5,76.31061676098822,5.367964558569713
one_missing,0.6,swap,5,78.56136013739092,5.4787042876566545
one_missing,0.7,normal,5,77.80089944789204,2.8346539119274894
one_missing,0.7,no_gap,5,77.5711077436378,3.35304439769787
one_missing,0.7,no_base,5,77.76163626413845,2.060414115112835
one_missing,0.7,base_to_gap,5,78.75340420825344,2.5862760590595486
one_missing,0.7,gap_to_base,5,77.58288428248649,1.6177644630668493
one_missing,0.7,move_base_to_gap,5,78.60204483307656,2.1327908415300514
one_missing,0.7,move_gap_to_base,5,77.48476244728691,3.0609805384144666
one_missing,0.7,swap,5,77.92881288833958,2.4362062435622103
AT,0.0,normal,0,,
AT,0.0,no_gap,0,,
AT,0.0,no_base,0,,
AT,0.0,base_to_gap,0,,
AT,0.0,gap_to_base,0,,
AT,0.0,move_base_to_gap,0,,
AT,0.0,move_gap_to_base,0,,
AT,0.0,swap,0,,
AT,0.1,normal,5,84.61605937534445,3.442993648030121
AT,0.1,no_gap,5,83.93655835337869,2.324479772811707
AT,0.1,no_base,5,83.45539329765849,1.8006042378401834
AT,0.1,base_to_gap,5,84.92769546736021,2.126569389665335
AT,0.1,gap_to_base,5,82.19661265561558,1.493590365123541
AT,0.1,move_base_to_gap,5,84.70240197557898,3.0919362642234067
AT,0.1,move_gap_to_base,5,82.30884222978925,1.7593261316705366
AT,0.1,swap,5,83.7865494866445,3.150733952841669
AT,0.2,normal,5,86.62988905380124,3.5988453162349696
AT,0.2,no_gap,5,86.49425664937888,4.366665521715318
AT,0.2,no_base,5,85.22222900098116,4.339737542496069
AT,0.2,base_to_gap,5,86.33410463459046,3.1310348999671063
AT,0.2,gap_to_base,5,85.62009035387166,3.2001014785184236
AT,0.2,move_base_to_gap,5,86.43384832537993,4.140117478266649
AT,0.2,move_gap_to_base,5,84.98621042036443,4.2338139011638924
AT,0.2,swap,5,86.89362044612106,3.5816088350141815
AT,0.3,normal,5,88.78620753991585,4.000059783072337
AT,0.3,no_gap,5,88.5873798088192,3.8669447831830355
AT,0.3,no_base,5,88.37477334277828,4.276417405919663
AT,0.3,base_to_gap,5,88.94651662652183,3.7250824895426358
AT,0.3,gap_to_base,5,88.56652650463086,3.8569706386458984
AT,0.3,move_base_to_gap,5,88.56652650463086,3.8569706386458984
AT,0.3,move_gap_to_base,5,88.36795910377467,4.369030658386312
AT,0.3,swap,5,88.56652650463086,3.8569706386458984
AT,0.4,normal,5,84.83774144250236,3.2365009018285584
AT,0.4,no_gap,5,84.66452090903307,3.162340909133894
AT,0.4,no_base,5,84.67761232322353,4.448992568831037
AT,0.4,base_to_gap,5,84.60322986545049,2.3894258277182616
AT,0.4,gap_to_base,5,84.28560489630385,4.040985508312038
AT,0.4,move_base_to_gap,5,84.89275786747473,3.519106940785097
AT,0.4,move_gap_to_base,5,84.9553054230639,4.757828232595268
AT,0.4,swap,5,84.60715005101619,2.9732669444097533
