section,rate,mode,modality,metric,n_seeds,mean,sample_std,positive,zero,negative,sign_flip_p_two_sided
retention,0.7,fixed0.9,audio,write_damage,5,0.11272362063516371,0.004370743438529361,,,,
retention,0.7,fixed0.9,text,decay_damage,5,0.00872482392386019,0.000257739805298922,,,,
retention,0.7,fixed0.9,text,err_decay,5,0.2575137734994685,0.007734149870782782,,,,
retention,0.7,fixed0.9,text,err_post,5,0.36375737588009166,0.014722603965634155,,,,
retention,0.7,fixed0.9,text,write_damage,5,0.10624360239236151,0.009084983957609013,,,,
retention,0.7,fixed0.9,visual,decay_damage,5,0.0076287089421263835,0.0003738229427499029,,,,
retention,0.7,fixed0.9,visual,err_decay,5,0.2363061885744679,0.015659328334824925,,,,
retention,0.7,fixed0.9,visual,err_post,5,0.34076983312075093,0.019213825037824882,,,,
retention,0.7,fixed0.9,visual,write_damage,5,0.10446364456532581,0.005828970425565513,,,,
retention,0.7,global,audio,decay_damage,5,0.007958785947455513,0.0003259149664351721,,,,
retention,0.7,global,audio,err_decay,5,0.22019886825358942,0.01039604756073381,,,,
retention,0.7,global,audio,err_post,5,0.3342274775483079,0.007976166942801349,,,,
retention,0.7,global,audio,write_damage,5,0.11402860933043077,0.005395094059284043,,,,
retention,0.7,global,text,decay_damage,5,0.009255642044687413,0.0003440033946523122,,,,
retention,0.7,global,text,err_decay,5,0.23337647121151167,0.014632004800864486,,,,
retention,0.7,global,text,err_post,5,0.3411399707291696,0.018406531629996715,,,,
retention,0.7,global,text,write_damage,5,0.10776349955681794,0.006771868618734321,,,,
retention,0.7,global,visual,decay_damage,5,0.008360708423036487,0.00044288432935468604,,,,
retention,0.7,global,visual,err_decay,5,0.21890505817449807,0.016601955145931997,,,,
retention,0.7,global,visual,err_post,5,0.3236975200588271,0.01999485309045994,,,,
retention,0.7,global,visual,write_damage,5,0.10479246186994332,0.006199414453071523,,,,
retention,0.7,global-minus-fixed0.9,audio,decay_damage,5,0.000983626434135018,7.804376487469044e-05,5,0,0,
retention,0.7,global-minus-fixed0.9,audio,err_decay,5,-0.019349291625846858,0.0020909337060417052,0,0,5,
retention,0.7,global-minus-fixed0.9,audio,err_post,5,-0.018044303000204032,0.003200564541937359,0,0,5,
retention,0.7,global-minus-fixed0.9,audio,write_damage,5,0.0013049886952670674,0.0031162743736293857,3,0,2,
retention,0.7,global-minus-fixed0.9,text,decay_damage,5,0.0005308181208272238,0.00011829365545365147,5,0,0,
retention,0.7,global-minus-fixed0.9,text,err_decay,5,-0.024137302287956845,0.007609377698168782,0,0,5,
retention,0.7,global-minus-fixed0.9,text,err_post,5,-0.02261740515092211,0.004052064058753066,0,0,5,
retention,0.7,global-minus-fixed0.9,text,write_damage,5,0.0015198971644564212,0.0038670697328000627,4,0,1,
retention,0.7,global-minus-fixed0.9,visual,decay_damage,5,0.0007319994809101039,0.00015493006036369815,5,0,0,
retention,0.7,global-minus-fixed0.9,visual,err_decay,5,-0.017401130399969815,0.001634691514691115,0,0,5,
retention,0.7,global-minus-fixed0.9,visual,err_post,5,-0.017072313061923795,0.0025055844364815995,0,0,5,
retention,0.7,global-minus-fixed0.9,visual,write_damage,5,0.0003288173046175014,0.0016181276007239155,3,0,2,
