seed,section,rate,mode,modality,metric,value
66,write_fit,0.5,protected,visual,err_after,0.07748623855985154
66,write_fit,0.5,protected,visual,err_before,0.7193495450300565
66,write_fit,0.5,protected,visual,err_original_after,0.0016238678138753345
66,write_fit,0.5,protected,visual,fit_gain,0.6418633064702051
66,retention,0.7,reference,audio,decay_damage,0.009554698347399613
66,retention,0.7,reference,audio,err_decay,0.21437326634409654
66,retention,0.7,reference,audio,err_post,0.3642303630740598
66,retention,0.7,reference,audio,write_damage,0.14985709676337555
66,retention,0.7,reference,text,decay_damage,0.010306830793334975
66,retention,0.7,reference,text,err_decay,0.19952161211430397
66,retention,0.7,reference,text,err_post,0.3521725861768919
66,retention,0.7,reference,text,write_damage,0.15265097413363296
66,retention,0.7,reference,visual,decay_damage,0.008960784673604068
66,retention,0.7,reference,visual,err_decay,0.22749406436123326
66,retention,0.7,reference,visual,err_post,0.36070041679446974
66,retention,0.7,reference,visual,write_damage,0.13320635245525195
66,task,0.7,reference,,accuracy,0.7848509266720387
66,task,0.7,reference,,macro_f1,0.773567065038815
66,task,0.7,reference,,weighted_f1,0.7839118954933189
66,write_audit,0.7,reference,,applied_norm,6.1547421098024095
66,write_audit,0.7,reference,,global_norm,5.64980615946441
66,write_audit,0.7,reference,,global_scale,0.9171432656064137
66,write_audit,0.7,reference,,norm_mismatch,2.3164566513225976e-07
66,write_audit,0.7,reference,,original_norm,6.1547421098024095
66,write_audit,0.7,reference,,protected_norm,5.649806156379263
66,write_fit,0.7,reference,audio,err_after,0.0016337342993849497
66,write_fit,0.7,reference,audio,err_before,0.7717705290028755
66,write_fit,0.7,reference,audio,err_original_after,0.0016337342993849497
66,write_fit,0.7,reference,audio,fit_gain,0.7701367947034905
66,write_fit,0.7,reference,text,err_after,0.0022660098439759367
66,write_fit,0.7,reference,text,err_before,1.070482500907837
66,write_fit,0.7,reference,text,err_original_after,0.0022660098439759367
66,write_fit,0.7,reference,text,fit_gain,1.068216491063861
66,write_fit,0.7,reference,visual,err_after,0.0016604124146329788
66,write_fit,0.7,reference,visual,err_before,0.7769328940338744
66,write_fit,0.7,reference,visual,err_original_after,0.0016604124146329788
66,write_fit,0.7,reference,visual,fit_gain,0.7752724816192414
66,retention,0.7,fixed0.9,audio,decay_damage,0.0070311797164124504
66,retention,0.7,fixed0.9,audio,err_decay,0.2404413841773117
66,retention,0.7,fixed0.9,audio,err_post,0.3576381964499294
