model,seed,rate,selected_epoch,weighted_f1,macro_f1,accuracy,mae,correlation
p0,67,0.5,54,0.7625709678884498,0.7556797020484172,0.7637195121951219,1.0561851263046265,0.5848849031511862
p0,67,0.6,93,0.7515984060146773,0.7442014962017272,0.7530487804878049,1.0253018140792847,0.6073784812685912
p0,67,0.7,59,0.7636290764593038,0.7604494382022471,0.7621951219512195,1.0892385244369507,0.5934463744923294
b2,67,0.0,18,0.8709217611656637,0.8668831168831168,0.8719512195121951,0.7655059695243835,0.7955861024428739
b2,67,0.1,18,0.8498339566312265,0.8454377596553315,0.850609756097561,0.8270705938339233,0.7507512906353268
b2,67,0.2,18,0.835111040996526,0.8307792257423472,0.8353658536585366,0.8540564179420471,0.7407067207885688
b2,67,0.3,35,0.7975761098443529,0.7929130737151415,0.7972560975609756,0.9128499627113342,0.694324858446014
b2,67,0.4,19,0.7625203869819853,0.7569908814589665,0.7621951219512195,1.0322608947753906,0.6178341099373449
b2,67,0.5,32,0.7496164591087696,0.7449617937498674,0.7484756097560976,1.071184754371643,0.5898520569720743
b2,67,0.6,95,0.7519200590108596,0.7437195318736941,0.7545731707317073,1.016361117362976,0.5859287698914277
b2,67,0.7,18,0.7556863631303753,0.75114453814381,0.7545731707317073,1.042993426322937,0.5889700016676684
p0,68,0.0,39,0.8763666879250922,0.8731495606213608,0.8765243902439024,0.7741259932518005,0.7894708306938044
p0,68,0.1,28,0.8518645315768139,0.8479358592919191,0.8521341463414634,0.9788917303085327,0.7304279454727022
p0,68,0.2,47,0.8201219512195121,0.8156653934446529,0.8201219512195121,0.9117478728294373,0.709670100455546
p0,68,0.3,47,0.8171602091149379,0.8127212515701724,0.8170731707317073,0.9311932921409607,0.6916519024390343
p0,68,0.4,47,0.7860132524808703,0.7801776960784313,0.7865853658536586,0.9452716708183289,0.6691764825852856
p0,68,0.5,26,0.7785733982814211,0.7698450347881087,0.7835365853658537,1.0621980428695679,0.6447696431880926
p0,68,0.6,31,0.7538740677467974,0.7423311328763479,0.7637195121951219,1.050604224205017,0.5934663882540252
p0,68,0.7,48,0.711713877667324,0.7064254757866969,0.7103658536585366,1.1870697736740112,0.4562681628154676
b2,68,0.0,6,0.871887732321259,0.8686498855835241,0.8719512195121951,0.918944776058197,0.7767768070741091
b2,68,0.1,10,0.8408204277764479,0.8382517664795103,0.8399390243902439,0.9211674928665161,0.7399732105560163
b2,68,0.2,8,0.8117074114992021,0.8079752226093689,0.8109756097560976,0.9502781629562378,0.6983497363234851
b2,68,0.3,16,0.8023361516239098,0.7980276433084815,0.801829268292683,0.9266597628593445,0.6946240607944782
b2,68,0.4,10,0.7860857937199305,0.7822142586370497,0.7850609756097561,1.0312021970748901,0.6377816885545162
b2,68,0.5,11,0.7727169815834349,0.770211573490262,0.7713414634146342,1.072979211807251,0.6343661671203515
b2,68,0.6,5,0.7548942736188314,0.7458586294490923,0.7591463414634146,1.0767472982406616,0.5575247062239478
b2,68,0.7,42,0.6820310057066916,0.6681891025641025,0.6920731707317073,1.207885980606079,0.4285949047215498
p0,69,0.0,46,0.8723122621224397,0.8682204876868156,0.8734756097560976,0.7780790328979492,0.7786243874070122
