dataset,rate,mode,section,modality,metric,n_seeds,mean,sample_std
iemocap4,0.7,fixed0.8,task,,macro_f1,5,0.7769999739018532,0.01533735671838662
iemocap4,0.7,fixed0.8,task,,weighted_f1,5,0.7845100930477525,0.01509547157553026
iemocap4,0.7,fixed0.9,current_observed_write_fit,audio,err_after,5,0.07783105799792697,0.003234832704451597
iemocap4,0.7,fixed0.9,current_observed_write_fit,text,err_after,5,0.10770281710007007,0.0016267914433234576
iemocap4,0.7,fixed0.9,current_observed_write_fit,visual,err_after,5,0.07421595949358648,0.00274151256333165
iemocap4,0.7,fixed0.9,retention,audio,err_decay,5,0.23954815987943628,0.009046690292313815
iemocap4,0.7,fixed0.9,retention,text,err_decay,5,0.2575137734994685,0.007734149870782782
iemocap4,0.7,fixed0.9,retention,visual,err_decay,5,0.2363061885744679,0.015659328334824925
iemocap4,0.7,fixed0.9,task,,accuracy,5,0.7806607574536664,0.017556495695920906
iemocap4,0.7,fixed0.9,task,,macro_f1,5,0.772949733160654,0.01647611652765965
iemocap4,0.7,fixed0.9,task,,weighted_f1,5,0.781223381430438,0.016228535015672486
iemocap4,0.7,fixed0.95,current_observed_write_fit,audio,err_after,5,0.04038911247503432,0.0016493547524814806
iemocap4,0.7,fixed0.95,current_observed_write_fit,text,err_after,5,0.0558365869618171,0.0008452315258150501
iemocap4,0.7,fixed0.95,current_observed_write_fit,visual,err_after,5,0.03840174574923728,0.0014362683604244384
iemocap4,0.7,fixed0.95,retention,audio,err_decay,5,0.22331898520180246,0.010666832591316514
iemocap4,0.7,fixed0.95,retention,text,err_decay,5,0.22706310726056123,0.008316254186490244
iemocap4,0.7,fixed0.95,retention,visual,err_decay,5,0.22091752966446776,0.01600155009704348
iemocap4,0.7,fixed0.95,task,,accuracy,5,0.7793714746172442,0.017831721413697862
iemocap4,0.7,fixed0.95,task,,macro_f1,5,0.7717460016437951,0.016934168597315256
iemocap4,0.7,fixed0.95,task,,weighted_f1,5,0.7799001584562281,0.016448118240612007
iemocap4,0.7,reference,current_observed_write_fit,audio,err_after,5,0.0016693000876043852,6.271378321376056e-05
iemocap4,0.7,reference,current_observed_write_fit,text,err_after,5,0.0023133625976450726,4.281975170848774e-05
iemocap4,0.7,reference,current_observed_write_fit,visual,err_after,5,0.0015983698566350334,6.436791699239665e-05
iemocap4,0.7,reference,retention,audio,err_decay,5,0.21133708806386126,0.012171999535482933
iemocap4,0.7,reference,retention,text,err_decay,5,0.20095615646508075,0.00888990998664833
iemocap4,0.7,reference,retention,visual,err_decay,5,0.20954459865876848,0.016401425253939866
iemocap4,0.7,reference,task,,accuracy,5,0.7769540692989525,0.018210050384677948
iemocap4,0.7,reference,task,,macro_f1,5,0.7692576422002391,0.01670481414452083
iemocap4,0.7,reference,task,,weighted_f1,5,0.7775017997827897,0.01681879306755703
iemocap4,all,fixed0.8,current_observed_write_fit,audio,err_after,5,0.14190759009999326,0.007146256236111745
iemocap4,all,fixed0.8,current_observed_write_fit,text,err_after,5,0.20519562077942388,0.004067601979282381
iemocap4,all,fixed0.8,current_observed_write_fit,visual,err_after,5,0.13608125943810576,0.006178669349210969
iemocap4,all,fixed0.8,task,,accuracy,5,0.8215310233682515,0.005854802858258053
iemocap4,all,fixed0.8,task,,macro_f1,5,0.8156669732237088,0.006068773741355561
iemocap4,all,fixed0.8,task,,weighted_f1,5,0.8216383384108523,0.005136499259396645
iemocap4,all,fixed0.9,current_observed_write_fit,audio,err_after,5,0.07396943886433092,0.0037204248792516376
iemocap4,all,fixed0.9,current_observed_write_fit,text,err_after,5,0.10705600912409743,0.0021358615255517286
iemocap4,all,fixed0.9,current_observed_write_fit,visual,err_after,5,0.07058289228021218,0.0033134282888744944
iemocap4,all,fixed0.9,task,,accuracy,5,0.8185979049153909,0.005928642392237244
iemocap4,all,fixed0.9,task,,macro_f1,5,0.8122854574245356,0.006595314642783082
iemocap4,all,fixed0.9,task,,weighted_f1,5,0.8186682976436014,0.005197044694269678
iemocap4,all,fixed0.95,current_observed_write_fit,audio,err_after,5,0.03843720562631317,0.0019282912187369356
iemocap4,all,fixed0.95,current_observed_write_fit,text,err_after,5,0.0556350482798773,0.0011118927581053512
iemocap4,all,fixed0.95,current_observed_write_fit,visual,err_after,5,0.0366150866557557,0.001742007125627264
iemocap4,all,fixed0.95,task,,accuracy,5,0.8178887993553586,0.006076194205159981
iemocap4,all,fixed0.95,task,,macro_f1,5,0.8114852002354079,0.006894157549790956
iemocap4,all,fixed0.95,task,,weighted_f1,5,0.8179414618674503,0.005343482319732054
