seed,rate,pattern,t,n,weighted_f1,score_delta_mean,score_mae,score_p90_abs,sign_flip_percent
67,0.1,AV,-0.5,59,74.95225061284646,-0.004482359814820654,0.017280155682336477,0.022989809513092044,1.694915254237288
67,0.1,AV,0.0,59,74.95225061284646,-0.004488541034318633,0.01398506975274975,0.018280744552612308,1.694915254237288
67,0.1,AV,0.5,59,74.95225061284646,-0.0029833455080703155,0.008197555286904513,0.010935950279235841,1.694915254237288
67,0.1,AV,1.0,59,76.64805583250248,0.0,0.0,0.0,0.0
67,0.1,TV,-1.0,58,84.50599498094617,0.08878136492045276,0.11135790357366204,0.1914870098233223,3.4482758620689653
67,0.1,TV,-0.5,58,84.50599498094617,0.06168994399044534,0.07527557004178906,0.13306204676628114,3.4482758620689653
67,0.1,TV,0.0,58,84.50599498094617,0.03670451804545933,0.043496631744221366,0.08243833631277084,3.4482758620689653
67,0.1,TV,0.5,58,84.50599498094617,0.01584275351066528,0.018316345241177697,0.035975073277950284,3.4482758620689653
67,0.1,TV,1.0,58,87.90554948769959,0.0,0.0,0.0,0.0
67,0.2,ALL,-1.0,248,80.77076791321723,0.03940596414970294,0.0547888703614233,0.16694876551628116,0.0
67,0.2,ALL,-0.5,248,80.77076791321723,0.02535704015979483,0.03767870111586226,0.10964995622634889,0.0
67,0.2,ALL,0.0,248,80.77076791321723,0.013567469638562011,0.02286972314299595,0.06145495176315309,0.0
67,0.2,ALL,0.5,248,80.77076791321723,0.005039684305478248,0.010360740774851893,0.02521936893463135,0.0
67,0.2,ALL,1.0,248,80.77076791321723,0.0,0.0,0.0,0.0
67,0.2,AT,-1.0,75,92.0,0.02774707882354657,0.041681780107319356,0.08150862753391269,0.0
67,0.2,AT,-0.5,75,92.0,0.016796173304319383,0.026712386657794317,0.055208945274353036,0.0
67,0.2,AT,0.0,75,92.0,0.007987882494926452,0.01598569413026174,0.0317122220993042,0.0
67,0.2,AT,0.5,75,92.0,0.0023285670081774393,0.007279940744241079,0.014212369918823247,0.0
67,0.2,AT,1.0,75,92.0,0.0,0.0,0.0,0.0
67,0.2,AV,-1.0,92,64.98682476943345,0.0017221362390757902,0.017298271687215438,0.02779512405395508,0.0
67,0.2,AV,-0.5,92,64.98682476943345,-0.0008217461872845888,0.015967477325593,0.023608697950840002,0.0
67,0.2,AV,0.0,92,64.98682476943345,-0.001993555292163206,0.012599169519608435,0.017691028118133546,0.0
67,0.2,AV,0.5,92,64.98682476943345,-0.0017089060325499463,0.007250700520513498,0.01070326566696167,0.0
67,0.2,AV,1.0,92,64.98682476943345,0.0,0.0,0.0,0.0
67,0.2,TV,-1.0,81,87.84261715296199,0.09300261312796745,0.10950697958469391,0.1866462230682373,0.0
67,0.2,TV,-0.5,81,87.84261715296199,0.06301769890167096,0.07249235757339148,0.1290491819381714,0.0
67,0.2,TV,0.0,81,87.84261715296199,0.03640800456941864,0.040909144245548014,0.0766143798828125,0.0
67,0.2,TV,0.5,81,87.84261715296199,0.015215043668393735,0.01674572479577712,0.03354835510253906,0.0
67,0.2,TV,1.0,81,87.84261715296199,0.0,0.0,0.0,0.0
