seed,rate,pattern,component,n,mean,mean_abs,p90_abs
67,0.4,AT,evenhalf,86,0.0020381282841743426,0.0022536721946888193,0.005629375576972961
67,0.4,AV,odd1,89,0.0006316614996516302,0.007762806898171312,0.012466663122177125
67,0.4,AV,even1,89,0.002864914307935854,0.004617368969857023,0.006818485260009768
67,0.4,AV,oddhalf,89,0.00031029210645663603,0.003928446237081557,0.006303751468658448
67,0.4,AV,evenhalf,89,0.0007296536023613442,0.0011701410521198525,0.0017355203628540044
67,0.4,TV,odd1,81,-0.05513236748146606,0.06025909543336357,0.09579084068536758
67,0.4,TV,even1,81,0.010662487184881796,0.013395124672693604,0.02996361255645752
67,0.4,TV,oddhalf,81,-0.02828535723304491,0.030810448772239464,0.04978695511817932
67,0.4,TV,evenhalf,81,0.00284976415037189,0.003541559205149059,0.007834792137145996
67,0.5,ALL,odd1,235,-0.01582533053934891,0.024259269528804306,0.07163789272308349
67,0.5,ALL,even1,235,0.004750986201094186,0.007640196420648631,0.018903720378875728
67,0.5,ALL,oddhalf,235,-0.008124656824672475,0.012358605790328473,0.036644577980041504
67,0.5,ALL,evenhalf,235,0.0012459506142012617,0.0019786543589323125,0.005060160160064696
67,0.5,AT,odd1,77,-0.01077199848247813,0.016928145782901097,0.03802229166030884
67,0.5,AT,even1,77,0.0054800614424340135,0.007141802363194429,0.01751582622528076
67,0.5,AT,oddhalf,77,-0.005552427528740524,0.008648632602258162,0.019671881198883058
67,0.5,AT,evenhalf,77,0.0014453473222720158,0.0018618756106921605,0.00464402437210083
67,0.5,AV,odd1,80,0.000728707667440176,0.007782299071550369,0.012611609697341921
67,0.5,AV,even1,80,0.0029965187422931194,0.0047573884017765525,0.008073464035987857
67,0.5,AV,oddhalf,80,0.00037148492410779,0.003925487119704485,0.006321638822555543
67,0.5,AV,evenhalf,80,0.0007637004833668471,0.0012058102991431951,0.002047695219516755
67,0.5,TV,odd1,78,-0.03779237701271016,0.04839586138796921,0.08307476043701172
67,0.5,TV,even1,78,0.0058307118821316044,0.011088926983901706,0.027851474285125733
67,0.5,TV,oddhalf,78,-0.019377900359149162,0.024670367702268638,0.042580205202102664
67,0.5,TV,evenhalf,78,0.0015437257929872244,0.002886596517876173,0.007256472110748291
67,0.6,ALL,odd1,189,-0.01650467698546077,0.024319253760887675,0.07534857988357545
67,0.6,ALL,even1,189,0.004687029831407089,0.007421037608452102,0.021359622478485114
67,0.6,ALL,oddhalf,189,-0.008471278722580305,0.01237423985792452,0.03854703903198242
67,0.6,ALL,evenhalf,189,0.0012350153380009548,0.0019240997086165759,0.0056605577468872076
67,0.6,AT,odd1,67,-0.007278621085544131,0.01639626775659732,0.033748459815979
67,0.6,AT,even1,67,0.004292153044423061,0.0069330504803515195,0.018450903892517086
67,0.6,AT,oddhalf,67,-0.0037599799793158004,0.00834612592832366,0.017266685515642165
67,0.6,AT,evenhalf,67,0.0011340843430205957,0.0017990775739968714,0.004852932691574096
67,0.6,AV,odd1,64,-0.0007916186077636667,0.007559736717666965,0.011772352457046508
67,0.6,AV,even1,64,0.001619653899979312,0.0036885655790683813,0.006126907467842102
67,0.6,AV,oddhalf,64,-0.0004007794850622304,0.0038035018878872506,0.005916640907526016
67,0.6,AV,evenhalf,64,0.0004129376684431918,0.00093281263980316,0.0015506625175476074
67,0.6,TV,odd1,58,-0.04450090942454749,0.051964928813535594,0.0895641565322876
67,0.6,TV,even1,58,0.008527871285533083,0.012103336702646881,0.02766861915588379
